信口开喝,信口开河
粗犷,粗莽
粗心大意,粗心浮气
巡回,巡行
罪行,罪责
自傲,自信
学塾,学宫
喧嚷,嘈吵
浮光掠影,走马观花
争辩,宣闹
亏折,亏空
夸奖,称赞
逢场作乐,逢场作趣
再接再厉,知难而进
粗拙,粗造
安宁,安然
开销,支出
志同道合,惺惺相惜
唇齿相依,巢毁卵破
自主,自立
开销,支拨
住宿,歇宿
幸好,辛亏
转嫁,转移
赞成,扶助
操心,费神
从容,安详
发达,昌盛
凶恶,粗鲁
雄壮,壮丽
转化,转移
再作冯妇,重作冯妇
扣问,询问
粗疏,粗糙
俯首听命,俯首贴耳
孜孜不怠,孜孜无倦
直捣黄龙,长驱直入
揣摸,猜度
贤良,贤达
羡慕,爱戴
妨碍,阻止
悬想,揣想
学问,知识
众醉独醒,愤世嫉俗
暗渡陈仓,暗送秋波
称号,称谓
寻视,巡视
心酸,苦涩
兴办,创立
知人善任,选贤举能
凶悍,凶残
笑容,笑脸
作法自毙,自取灭亡
废止,废除
风仪,风采
刑罚,科罚
付出,支付
掀天揭地,翻天覆地
左右,操纵
诪张为幻,诪张变眩
惨不忍闻,惨绝人寰
欣喜,开心
罪恶,邪恶
斩钉切铁,斩钢截铁
腐朽,腐烂
效尤,效法
行同狗彘,行若狗彘
处罚,处理
乡亲,梓乡
粗劣,粗糙
仓卒,仓猝
自鸣得意,趾高气扬
反躬自省,反躬自问
息款,息钱
相近,附进
修缮,修葺
哀感天地,哀感顽艳
拽巷啰街,拽巷逻街
反响,反映
趁火打劫,趁人之危
灿烂,鲜丽
喧华,嘈杂
粗犷,粗暴
下手,着手
遨游,飞翔
烦恼,烦躁
信札,尺素
察访,查访
心口不一,炫石为玉
作废,废除
校对,校阅
再生,复活
开除,辞退
喜不自胜,喜形于色
细致,详细
安家落户,安土重迁
张望,巡视
休息,休憩
战地,战场
开办,创立
丰功懿德,丰功茂德
壮伟,壮丽
遵命,遵照
凶狠,残暴
崇敬,看重
豺狼塞路,豺狼横道
饭铺,饭馆
争吵,争论
选拔,采用
争执,争持
心酸,心伤
挨户,挨门
志向,志愿
肥沃,肥饶
开门见山,直抒己见
父老,长者
总角之交,总角之好
作法自毙,自投罗网
风言风语,飞短流长
作工,做事
浮图,浮屠
战术,战略
呈现,线路
惩办,惩罚
指斥,责备
控制,掌管
场合,场地
粗壮,粗大
放浪,猖狂
自诒伊戚,自贻伊戚
宽心,宽解
挨肩叠背,挨肩并足
尊师贵道,尊师重道
支配,操纵
寻找,追求
幸亏,幸而
照猫画虎,西颦东效
自吹自擂,自我吹嘘
创办,创建
除去,撤退
周围,周遭
下手,开头
方位,场所
发作,发火
乘凉,歇凉
叱骂,咒骂
准许,承若
愤怒,震怒
嫌隙,心病
兴奋,振作
揣摩,猜想
昆仲,昆玉
暗室逢灯,雪中送炭
粗野,粗暴
形踪,形迹
咨询,询问
分别,分手
传颂,赞美
渲染,衬着
质地,质料
丰衣足食,足食丰衣
匆忙,匆急
安全,安然
夸大,夸张
心慌意乱,惴惴不安
凶恶,犀利
参加,插足
县令,县长
珠围翠拥,珠围翠绕
暗杀,行刺
针织,诚恳
职分,职责
忠实,诚实
阵列,陈列
风平浪静,相安无事
承受,承袭
止戈为武,止戈兴仁
发表,宣告
仓库,栈房
心理,心情
绰有余裕,绰绰有余
中午,正午
犯罪,罪人
再生,再造
杂沓,错落
醇厚,醇朴
璀璨,绚烂
传播,宣称
分明,真切
初阶,开头
向往,醉心
琢磨,考虑
行囊,行李
创剧痛深,创巨痛深
宽敞,空旷
咨询,筹商
废寝忘食,凿壁偷光
主要,重要
早晨,朝晨
防备,防止
恳求,苦求
下笔成章,出口成章
称扬,赞美
先河,开端
喜好,醉心
夸大,放大
层出不穷,层见迭出
发卡,发夹
成效,成果
主意,主见
阻拦,阻挠
恪守,遵守
信件,尺书
贩夫皂隶,贩夫走卒
村夫俗子,村夫野老
雪窗萤几,雪窗萤火
侦查,考查
株连,遭殃
发傻,发姣
安全,安静
成就,造诣
辞别,分辩
制伏,校服
出何典记,出何经典
巡回,巡游
叱骂,责骂
喜从天降,喜出望外
直立,矗立
凶暴,狂暴
星星之火,星火燎原
训导,训诲
袭击,反攻
走马上任,走马赴任
刻意,负责
宣传,宣称
枝词蔓说,枝辞蔓语
学问,常识
妇姑勃溪,妇姑勃溪
炊臼之戚,炊臼之痛
谢绝,阻挡
仔细,周详
下落,着落
作客,做客
选拔,选择
准许,承诺
指挥,辅导
悬鹑百结,鹑衣百结
心花怒发,兴高采烈
出色,增光
稚子,稚童
宽广,宽大
凤友鸾交,凤友鸾谐
赠送,馈遗
踧踖不安,坐立不安
作舍道边,筑舍道傍
招贤纳士,爱才如命
佛寺,梵刹
招待,款待
反响,反应
新生,复活
周至,周详
心悦诚服,心甘情愿
控制,限定
朝不虑夕,朝不谋夕
寻思,陈思
滋生,繁茂
窒碍,防碍
忖度,忖测
宽裕,富有
寻根究底,寻根问底
阻拦,阻遏
仙姿玉色,仙姿玉质
防守,防御
珍惜,珍摄
富裕,浊富
复杂,繁杂
制服,栈稔
充分,充塞
昭彰,显明
成亲,成婚
住客,房客
形似,相仿
充裕,阔气
安乐,快乐
招待,招唤
支配,安排
撤消,消除
直截了当,直言不讳
扩大,扩张
伫立,矗立
发作,发生
寸丝不挂,赤身露体
宽绰,宽大
蜚短流长,飞流短长
辛劳,辛勤
坐而论道,纸上谈兵
仔细,细心
钻冰取火,钻冰求火
秀丽,秀气
喧闹,繁华
防备,防范
发憷,犯憷
伐毛换髓,伐毛洗髓
抗争,反叛
开放,绽放
喧闹,喧喧
谢绝,辞让
腐化,腐蚀
费力,费劲
知过必改,知过能改
新生,重生
信托,信赖
暂停,休憩
蓄志,蓄意
丰富,充足
寸有所长,尺短寸长
主食,瞩目
责任,职守
开发,开导
开怀,畅意
卓绝,卓越
嗤笑,嘲弄
腐朽,腐臭
正规,正路
稀罕,稀少
仿制,仿照
指使,支使
乘虚而入,乘人之危
快人快语,快嘴快舌
振动,颤动
转死沟壑,转死沟渠
出口伤人,血口喷人
挨风缉缝,捱风缉缝
残兵败将,虾兵蟹将
发奋,奋发
忠言,针砭
组合,组装
奉为圭臬,奉若神明
整个,系数
自得,自满
自助,自立
餐风宿草,餐风宿露
珍宝,至宝
狰狞,凶残
专一,纯碎
心惊肉跳,心惊胆落
传扬,张扬
夸奖,赞赏
参预,插足
尺寸之地,尺山寸水
戳穿,拆穿
执拗,执著
茶余酒后,茶余饭饱
信号,暗号
珍禽奇兽,珍禽异兽
照应,看护
转辗反侧,辗转反侧
寻求,找寻
彰明较著,显而易见
夸耀,炫耀
福气,福泽
珠联璧合,相得益彰
初叶,开始
许可,承诺
测验,考试
开疆拓境,开疆辟土
诛讨,征讨
出席,参与
镇静,安静
叩谢,致谢
开办,创设
侃侃谔谔,直言不讳
分开,张开
超过,跨越
指望,渴望
传递,转达
法例,法规
放虎归山,放龙入海
正途,正轨
负乘斯夺,负乘致寇
指望,希翼
诚意,忠心
总角之交,竹马之交
存心,蓄谋
新闻,信息
创制,创建
阐扬,发扬
扶危持倾,扶颠持危
正派,正经
出售,发卖
显露,泄漏
储存,储蓄
灼热,炽热
凡夫,小人
鳌掷鲸吞,鳌掷鲸呿
震古烁今,震古铄今
反复,重复
黯然销魂,黯然神伤
安身,驻足
傲慢,傲岸
撤废,铲除
聱牙诘屈,聱牙诘曲
采取,选择
开云见天,开云见日
殉难,阵亡
指名道姓,直呼其名
嚣张,疯狂
校正,校订
寸草不留,斩草除根
操戈入室,操矛入室
按部就班,遵厌兆祥
战栗,颤抖
响遏行云,震天动地
抗御,防范
叩首,叩头
助人下石,助纣为虐
下车伊始,新来乍到
垂问,照顾
负固不服,负阻不宾
相遇,邂逅
心不在焉,心猿意马
窥察,窥探
佐理,助理
惨无人道,豺狼成性
春和景明,风和日丽
责难,非难
放恣,放荡
泛论,畅谈
姿容,相貌
出尔反尔,翻云覆雨
床上叠床,床上施床
作壁上观,坐视不救
发布,宣布
才干,才能
才貌双全,才貌双绝
法则,准则
犯罪,犯法
呈现,显现
执法不阿,执法如山
从命,服从
粉妆玉琢,粉装玉琢
层出不穷,层见叠出
琢磨,斟酌
储存,贮存
贮蓄,贮存
尊奉,崇奉
削铁如泥,新发于硎
张眉努目,张眉努眼
帐幕,帐蓬
注明,注解
雪上加霜,乘人之危
鲜嫩,鲜活
置之不理,置若罔闻
出口伤人,出言不逊
从命,尊从
丈量,测量
闲扯,闲谈
安于现状,自甘堕落
奋起,振作
充耳不闻,置若罔闻
乘风破浪,长风破浪
止渴思梅,止渴望梅
彻上彻下,彻里彻外
喜报,喜讯
喜气洋洋,笑逐颜开
串连,串通
采兰赠芍,采兰赠药
筹办,筹备
反酸,嗳酸
凯旅,凯旋
捆绑,系结
鲜艳,绚烂
享受,享福
凶暴,凶横
绸缪,缠绵
安放,放置
出人头地,卓尔不群
否决,抗议
鞍马劳倦,鞍马劳神
向往,瞻仰
发抖,战抖
折冲尊俎,折冲樽俎
才华,材干
显要,显达
哀悼,哀痛
专科,专长
愁闷,苦闷
傲雪欺霜,傲霜斗雪
旷日积晷,旷日经久
阻难,阻挡
形容,形色
贤良,贤能
安闲,闲暇
冲突,争持
崭新,新鲜
赠送,赠给
飞舞,飞行
恪守,遵循
传布,宣扬
诛讨,征伐
枕戈以待,枕戈达旦
最佳,最好
喜好,宠爱
先兆,征兆
奥妙,奥秘
充分,充实
选贤与能,选贤任能
炙手可热,烜赫一时
佐治,襄理
安良除暴,除暴安良
口似悬河,口若悬河
学友,校友
苌弘化碧,苌弘碧血
幸运,走运
开疆拓土,开疆辟土
姿态,状貌
咂嘴咂舌,咂嘴舔唇
反宾为主,喧宾夺主
走漏,泄漏
存身,藏身
复员,转业
壮阔,宽阔
宽待,宽恕
相当,非常
整装,治装
忠告,箴规
仓促,匆匆
习俗,风气
苍翠,葱茏
伏低做小,做小伏低
察看,查看
氛围,空气
行踪,足迹
阔绰,阔气
震天撼地,震天动地
乡村,村落
协助,襄助
昂扬,昂然
亏折,亏本
转变,转折
坐罪,治罪
效劳,服务
惺惺作态,装模作样
浮夸,虚夸
富商巨贾,富商蓄贾
腥风血雨,血雨腥风
仙山楼阁,仙山琼阁
反败为胜,转危为安
寸善片长,寸长片善
再建,重建
揆情度理,揆理度情
从天而下,从天而降
方兴未艾,方滋未艾
称誉,称道
走为上策,走为上计
制胜,治服
纷乱,错乱
放纵,纵脱
放任,放荡
聪慧,贤慧
暗杀,暗算
安谧,安靖
自作自受,自投罗网
魁梧,雄伟
分别,差异
钻穴逾墙,钻穴逾隙
休息,小憩
夫子,孔子
狂妄,恣肆
凶险,邪恶
诚心,赤心
克服,治服
才华,才力
返老归童,返老还童
真理,真谛
丰润,丰满
注视,瞩目
重整旗鼓,重起炉灶
新奇,新颖
风味,风韵
采摘,采撷
张罗,筹措
兴废,兴衰
自郐以下,郐下无讥
腐化,沉沦
熊罴之士,熊虎之士
照拂,照料
消灭,销毁
自强不息,虚度年华
自尊,自重
暗箭伤人,暗箭难防
称扬,赞颂
斋心涤虑,洗心涤虑
拂衣,拂袖
触物伤情,触目伤怀
按名责实,控名责实
出师,发兵
风餐露宿,餐风沐雨
修饰,装点
从兹,自兹
重兴旗鼓,重振旗鼓
雪恨,雪耻
产业,资产
昆虫,虫豸
整日,终日
困惑,猜疑
详备,详尽
行运,走运
创制,制造
壮阔,开朗
冲州撞府,冲州过府
唇揭齿寒,巢倾卵破
仙游,作古
自得,自大
反客为主,喧宾夺主
先声夺人,先礼后兵
凹下,凹陷
响彻云际,响彻云霄
付之一笑,嗤之以鼻
追忆,追溯
哭泣,抽泣
放任,放手
自出机杼,自出机轴
自己,自身
发愤,奋发
知人善任,爱才若渴
舛误,错误
序言,绪论
飞觥献斝,飞觥走斝
喜欢,心爱
獐头鼠目,贼眉鼠眼
废寝忘食,枵腹从公
制止,制约
伏贴,安妥
总数,总额
扶养,抚养
防患未然,防患未萌
仇恨,仇隙
学徒,学生
粲焕,鲜丽
蒸蒸日上,欣欣向荣
争强斗胜,争权夺利
雄兵,雄师
出语成章,出口成章
筹办,筹划
风烛残年,行将就木
服帖,服理
逐宕失返,逐流忘返
快速,讯速
风中之烛,风中残烛
畅想,遐想
喜怒哀乐,喜怒无常
创造,创作
扶老携幼,携幼扶老
跖犬噬尧,跖狗吠尧
按序,挨次
振撼,震荡
宰相,宰辅
寸步不离,形影不离
虚假,作假
才智,才情
智小谋大,知小谋大
窒塞,障碍
词章,词翰
成就,造就
负俗之累,负俗之讥
挚友,相知
新仇旧恨,血海深仇
副手,助理
血肉模糊,血肉横飞
秀丽,秀雅
场合,场面
测度,猜度
宣传,转播
彻夜,整夜
掌握,职掌
尊严,尊容
仿效,仿造
斩木揭竿,斩竿揭木
指东划西,指东画西
助手,襄助
心悦神怡,心旷神怡
仙姿佚貌,仙姿玉质
沉迷,陷溺
佛口蛇心,笑里藏刀
侦查,考核
富可敌国,富堪敌国
重温旧业,重理旧业
成天,终日
窒碍,妨害
中断,中辍
朝梁暮晋,朝梁暮陈
惨无人道,惨无人理
飞鸿踏雪,飞鸿雪爪
征服,驯服
新奇,希奇
辞别,分袂
相关,相干
憎恨,憎恶
枝头,枝端
安分守己,循规蹈矩
显赫,显贵
分裂,支解
主意,想法
作恶,非法
差池,舛错
克制,胁制
忠厚,诚挚
繁芜,错乱
分毫不爽,分毫无爽
创新,翻新
斩尽杀绝,斩草除根
只轮不反,只轮无反
知交,至友
正视,重视
炊金馔玉,酌金馔玉
吃力,辛勤
口是心非,心谤腹非
察看,查察
主张,倡导
增收节支,开源节流
哀号,哭喊
开花结果,春华秋实
吩咐,嘱咐
椎胸顿足,椎膺顿足
抗尘走俗,翻山越岭
发怔,怔住
醒聩震聋,振聋发聩
做刚做柔,做好做歹
副品,次品
恐怕,恐惧
奉侍,服侍
看破,看头
巡查,放哨
凑巧,可巧
安抚,宽慰
番来覆去,翻来覆去
承上启下,承先启后
出名,著名
楚才晋用,楚材晋用
安放,安插
响和景从,响答影随
寻找,找出
蕃昌,繁华
系累,系缚
写意,快意
主旨,主题
校正,考订
吃里扒外,吃里爬外
张三李四,张三吕四
风吹浪打,风吹雨打
杂乱,错杂
窒塞,阻滞
发屋,发廊
兄弟,昆季
祝愿,祝福
开门见山,开宗明义
梓里,梓乡
庄周梦蝶,庄生梦蝶
羞耻,羞辱
风尚,风俗
置身事外,袖手旁观
足高气强,足高气扬
犯颜直谏,知无不言
自愧不如,自轻自贱
形似,酷似
承上启下,承前启后
呴湿濡沫,相濡以沫
狂风怒号,狂风暴雨
喜见于色,喜形于色
安土乐业,安家乐业
增加,增进
策动,策画
昼伏夜游,昼伏夜行
负才任气,负才使气
口快心直,直肠直肚
可怒,可悲
追本溯源,追根究底
滋润,潮湿
分形共气,分形同气
迟缓,迟钝
丰产,丰收
从此,自此
置办,置备
指桑骂槐,指鸡骂狗
层见错出,层见叠出
中止,阻滞
夫役,苦力
摧枯折腐,摧枯拉腐
安装,装置
质地,质量
相像,相仿
富饶,充实
之死靡它,之死不渝
晓喻,晓谕
惭愧,欣慰
心照不宣,心领神悟
指控,控告
心心相印,心领神会
形影相随,形影不离
庄重,持重
开罪,触犯
仄声,仄音
战战兢兢,战战栗栗
餐风宿雨,餐风宿露
形态,形状
心仪,心动
臭不可当,臭不可闻
开拓,开采
先入之见,自以为是
稀疏,稀薄
安逸,闲适
震憾,颤动
闲荡,闲逛
处所,场所
铿锵有力,掷地有声
作恶,作歹
媳妇,子妇
指控,控诉
开诚布公,胸有城府
行色怱怱,风尘仆仆
查办,查究
学富五车,学贯中西
触景伤情,触景生情
超脱,超逸
再起,复兴
复原,复兴
楚楚动人,楚楚可人
晨秦暮楚,朝秦暮楚
长生不老,反老还童
训斥,训责
争锋吃醋,争风吃醋
出发,开拔
除名,褫职
站岗,放哨
糟塌,虚耗
唇亡齿寒,巢倾卵破
朝歌夜弦,朝歌暮弦
证明,阐明
执鞭坠镫,执鞭随镫
喜笑颜开,喜上眉梢
小惩大诫,惩前毖后
风雨如晦,风雨如磐
置身事外,置之脑后
习性,习惯
访问,考察
凑趣,逢迎
城门失火,城门鱼殃
出色,增色
讽刺,嘲讽
唇亡齿寒,息息相关
喜悦,快活
晓行夜住,晓行夜宿
裁撤,除掉
猝然,骤然
系风捕影,系风捕景
征程,征途
小家碧玉,掌上明珠
心理,心绪
啜泣,抽咽
相信,自负
吓唬,恐吓
拂拭,擦拭
冲撞,冲犯
次序,次第
奉为圭臬,奉为楷模
残毁,残毁
发奋,奋勉
朝生夕死,朝生暮死
走马上任,粉墨登场
崇拜,看重
张三李四,张王赵李
穿云裂石,震耳欲聋
正正之旗,正正堂堂
争夺,篡夺
操心,费心
形象,现象
心如死灰,心灰意懒
最终,终于
肤浅,菲薄
粉白黛绿,粉白黛黑
下沉,下降
扶持,扶植
空谷幽兰,闲云野鹤
指手划脚,指手画脚
折柳,分袂
雪泥鸿迹,雪鸿指爪
安邦定国,燮理阴阳
擦掌磨拳,蠢蠢欲动
心慌意乱,方寸已乱
吵闹,喧斗
崇山峻岭,重山峻岭
发端,开始
承认,招供
恐慑,恐慌
作乱,造反
诈骗,诳骗
福不重至,福无双至
安邦定国,安邦治国
消灭,消失
周到,详细
尊师重教,程门立雪
逍遥自在,逍遥自得
畅所欲为,畅所欲言
财源,财路
粗茶淡饭,粗衣粝食
序次,秩序
抚育,抚养
踌躇,迟疑
开山始祖,开山老祖
开畅,轩敞
招灾惹祸,招灾揽祸
习染,沾染
看风使船,看风驶船
兴兵,兴师
庄严,庄敬
性子,性质
快捷,迅速
叙说,叙述
分派,分配
长篇大套,长篇大论
克尽厥职,忠于职守
心如刀绞,心如刀割
差别,差距
再婚,重婚
洗尽铅华,返璞归真
崭露头角,初试锋芒
崇拜,尊敬
相反,相悖
讯息,信息
初露锋芒,初试锋芒
仿效,效颦
正宗,正统
安息,安眠
诽谤,责备
谄媚,阿谀
促使,催促
逞强好胜,逞强称能
擦拳磨掌,蠢蠢欲动
可怕,恐怖
吩咐,嘱托
磕牙料嘴,课嘴撩牙
法子,方法
政策,战略
愤怒,发怒
飞砂走石,飞砂转石
凤凰于飞,夫唱妇随
窥伺,窥测
专家,行家
整洁,整齐
法式,程序
形式,形状
心愿,渴望
心思,心术
创痍满目,疮痍满目
下不了台,下不来台
悬崖峭壁,悬崖绝壁
喜信,喜讯
惭愧,羞惭
宽洪大量,宽洪海量
防地,防线
兄死弟及,兄终弟及
周至,周密
拆字,测字
繁衍,繁殖
富饶,富庶
渲染,衬托
足不出户,足不窥户
飞扬,飞腾
惨不忍睹,惨绝人寰
成功,凯旋
修理,修茸
吃力,辛苦
相背,相悖
勘探,勘测
心浮气盛,心高气傲
方便之门,终南捷径
争先恐后,争胜好强
雄健,雄浑
分割,肢解
修炼,修齐
磋商,协商
蜂屯蚁杂,蜂屯蚁聚
富人,富豪
初露锋芒,初露头角
冲荡,飞漱
闲聊,闲谈
追根问底,追根究底
早晚,晨夕
消弭,消除
炽烈,酷热
脆弱,虚弱
直截了当,斩钉截铁
风光,风景
争执,争议
自尊,自爱
追善,追荐
开疆展土,开疆拓宇
中伤,造谣
兴旺,兴隆
珍惜,珍藏
修旧利废,修旧起废
父老,尊长
早安,晨安
酬报,酬谢
先河,肇基
抚慰,宽慰
主义,方针
口角,吵嘴
付之一炬,付之丙丁
子虚,作假
作弄,嘲谑
萧条,萧疏
乡亲,乡里
奥密,玄妙
照拂,照望
克日,克期
可靠,真实
战役,战斗
粗劣,粗陋
反水,造反
飞刍挽粒,飞刍挽粟
尘凡,尘世
空中楼阁,虚无飘渺
重义轻生,重气轻生
摧毁,粉碎
安置,安设
星驰电发,星驰电走
反目,反面
沾亲带友,沾亲带故
崇论吰议,真知灼见
防患未然,徙薪曲突
超越,跨越
祖业,祖产
住宅,住所
富裕,敷裕
冲凉,洗澡
灾害,灾荒
宣泄,泄露
发觉,出现
形式,方式
效率,效用
争光,争脸
着重,侧重
瞌睡,小憩
心怀,心胸
召唤,招呼
志同道合,息息相通
自愧不如,自愧弗如
拙笨,迟钝
作对,抗拒
孝敬,孝顺
测验,测试
池鱼堂燕,池鱼林木
安危,欣慰
细密,细腻
渴念,瞻仰
粉饰,装点
直言切谏,直言极谏
指点,辅导
震动,震撼
细针密线,细针密缕
成千累万,成千上万
逐电追风,逐风追电
新故代谢,新陈代谢
心地,心肠
帐幕,帐篷
防卫,防止
主动,自动
出人头地,出一头地
采薪之忧,采薪之疾
草泽,草野
自保,自卫
发展,繁荣
崇论吰议,崇论闳议
哀毁瘠立,哀毁骨立
支撑,支柱
学浅才疏,才疏学浅
重心,重点
长辈,长者
限制,范围
储备,贮备
兴工,开工
张惶,张皇
胁肩低眉,胁肩低首
行囊,行装
草草收兵,草草了事
知道,线路
抚慰,安慰
斜睨,斜视
从此,此后
衔橛之变,衔橛之虞
猜拳行令,猜枚行令
宽容,宽饶
猖厥,猖狂
昔日,昔时
飞快,迅速
显摆,炫耀
沉稳,镇定
材料,资料
休假,放假
下笔成文,下笔成篇
著作,著述
坎阱,陷坑
懊丧,懊恼
口是心非,口蜜腹剑
发展,成长
粉饰,装束
学富五车,腹载五车
称颂,赞扬
罚款,罚金
开门延盗,开门揖盗
抓耳挠腮,搓手顿脚
重大,重要
杂乱,杂乱
驯顺,驯服
追风逐影,追风蹑景
抓乖卖俏,抓乖弄俏
噪音,杂音
坐卧不安,惴惴不安
心机,心术
折辱,摧辱
先祖,祖先
朽木粪土,朽木粪墙
作贼心虚,做贼心虚
方兴未已,方滋未艾
转败为胜,逢凶化吉
罪状,罪过
相当,相称
细则,细目
安如磐石,岿然不动
真义,真谛
新婚燕尔,新昏宴尔
忠厚,垦切
自豪,自大
发回,发还
中断,终了
智力,材干
刻肌刻骨,刻骨铭心
爱国如家,爱民如子
唇枪舌战,针锋相对
下流,下游
指责,责怪
参军,从戎
巡礼,巡行
产品,产物
宽宥,宽恕
正大,正直
开眉展眼,开眉笑眼
侃侃而谈,夸夸其谈
放胆,放手
喜气洋洋,春风得意
相近,附近
修改,窜改
成群结队,辍毫栖牍
增添,扩充
孜孜不倦,废寝忘餐
村塾,村学
爪牙,走狗
总共,总计
出类拔萃,鳌里夺尊
成群结队,成群逐队
职分,职司
繁重,沉重
下属,下级
嘴脸,相貌
照亮,照耀
初度,初次
扶正祛邪,扶正黜邪
装备,装置
展示,显示
置诸度外,置之脑后
兴会,兴味
风云,风波
暗记,暗号
迟缓,迟笨
穴洞,窟窿
反馈,反应
操练,训练
冲击,挫折
佛头加秽,佛头着粪
狰狞,残忍
重任,重担
尝试,考试
希望,蓄意
处境,状况
晨光,晨曦
罪有应得,自讨苦吃
折足覆餗,折鼎覆餗
性子,性格
主张,成见
做张做智,做张做致
分歧,差异
相遇,再会
战火,烽火
空位,空地
摧毁,拆卸
夏天,夏季
奉迎,逢迎
行动,行径
