敝绨恶粟,敝衣粝食
得胜回朝,班师回朝
白衣卿相,白衣秀士
粗俗,鄙俗
同年而语,同日而言
本地,腹地
不屈,反抗
端方,端正
冲破,突破
推断,测度
参预,插足
低级,初级
韬声匿迹,韬神晦迹
不可胜数,不胜枚举
拖拖拉拉,拖泥带水
尺寸之地,尺山寸水
反朴还淳,反正还淳
戳穿,拆穿
大名鼎鼎,鼎鼎大名
大路,大道
怠忽,粗心
茶余酒后,茶余饭饱
妥贴,得当
处理,统治
分别,分辩
不惭屋漏,不愧屋漏
德薄才疏,才疏学浅
福气,福泽
伐毛洗髓,荡垢涤污
不拘小节,不拘细节
搏斗,斗争
梯山航海,翻山越岭
贪婪无餍,贪残无厌
放弃,罢休
笨拙,迟钝
同时,同期
调换,退换
搬弄,摆布
出席,参与
东洋,东瀛
半上落下,半途而废
托付,拜托
毕命,毙命
打击,波折
拜见,拜访
倒楣,倒霉
法例,法规
东道之谊,地主之谊
放虎归山,放龙入海
边沿,边缘
负乘斯夺,负乘致寇
头昏目眩,头昏眼花
不知疼痒,不知痛痒
残虐,荼毒
不容置喙,不由分说
抱残守缺,陈陈相因
创制,创建
从头至尾,通首至尾
发扬,阐扬
扶危持倾,扶颠持危
出售,发卖
唾骂,嘲笑
特为,特别
推诿,推辞
代劳,代庖
储存,储蓄
冬温夏凊,冬温夏清
推卸,推托
北辕适楚,背道而驰
错综复杂,错综相连
推命,推步
从天而降,突如其来
撤废,铲除
不死不活,半死不活
抵触,讨厌
逃脱,逃走
便当,方便
不修边幅,不护细行
贪杯,贪酒
操戈入室,操矛入室
笨重,粗重
八仙过海，各显其能,八仙过海，各显神通
道殣相属,道殣相望
大块文章,长篇大论
担负,负责
才气过人,才识过人
不明就里,不知就里
东徙西迁,东迁西徙
卑辞厚币,卑辞厚礼
负固不服,负阻不宾
发明,独创
八仙过海,大显神通
鼎峙,鼎立
得过且过,敷衍了事
惨无人道,豺狼成性
春和景明,风和日丽
诚信,诚实
恬淡,淡泊
撤除,退却
半壁江山,半壁河山
待人处事,待人接物
放恣,放荡
不苟言笑,宠辱不惊
泛论,畅谈
揣度,猜度
出尔反尔,翻云覆雨
反目成仇,反眼不识
妥善,妥当
床上叠床,床上施床
德薄能鲜,才疏学浅
才干,才能
才貌双全,才貌双绝
犯法,犯罪
大致,大要
从命,服从
璧还,退回
粉妆玉琢,粉装玉琢
层出不穷,层见叠出
充实,充裕
韬光养晦,韬光用晦
对于,对付
德容言功,德言工貌
德薄才疏,德薄能鲜
风环雨鬓,风鬟雨鬓
沉着痛快,沉著痛快
不容分说,不容置疑
恩威并用,恩威并著
雕肝琢肾,雕肝镂肾
恩典,恩情
摆列,陈列
跳动,跳跃
出色,特殊
风雨如晦,风雨晦暝
待价而沽,待贾而沽
代替,包办
出口伤人,出言不逊
不吝指教,不吝珠玉
白头偕老,百年偕老
动弹,动掸
放浪,放荡
天壤之别,天壤之隔
倒霉,厄运
乘风破浪,长风破浪
传杯换盏,传杯送盏
动身,登程
不雅,不雅观
天才,天赋
推三推四,推三阻四
充耳不闻,闭目塞听
不毛之地,寸草不生
贴近,逼近
天高听下,天高听卑
彻上彻下,彻里彻外
待时而举,待时而动
串连,串通
采兰赠芍,采兰赠药
东鳞西爪,残缺不全
不计其数,多如牛毛
筹办,筹备
沉浸,陶醉
跋前疐后,跋前踬后
恶衣菲食,恶衣薄食
土人,土着
韬光隐晦,韬匮藏珠
绸缪,缠绵
土崩瓦解,地崩山摧
别籍异居,别籍异财
凋落,雕谢
才华,材干
诚实,赤诚
才华,才智
推陈出新,推陈翻新
八公山上,杯弓蛇影
禀赋,赋性
动手,发端
掂斤抹两,掂斤播两
别具匠心,别出心裁
博古通今,博闻强识
同流合污,通同作恶
宾客如云,宾客盈门
把薪助火,抱薪救火
吹垢索瘢,吹毛求疵
飞舞,飞行
大抵,大概
退徙三舍,退避三舍
弊帚千金,弊帚自珍
大有迳庭,大相径庭
独揽,独霸
提防,防止
充分,充实
突如其来,防不胜防
报告,通知
得胜,成功
博览群书,博闻强记
地广人稀,地旷人稀
坦怀相待,推心致腹
覆巢倾卵,覆巢破卵
补助,辅助
吹毛求疵,吹毛索瘢
暴毙,猝死
东零西散,东零西碎
低劣,低装
探求,推度
多见,常见
不闻不问,闭目塞听
叨光,打扰
不修小节,不拘小节
苌弘化碧,苌弘碧血
乏味,蹩脚
担搁,拖延
怫郁,愤懑
避其锐气,避实击虚
存身,藏身
凋谢,雕残
成千累万,成千论万
楚楚可怜,楚楚可爱
得寸进尺,贪猥无厌
听之任之,听其自流
倒运,倒霉
拔类超群,超群拔类
通行,风行
同意,附和
躲避,躲闪
丢弃,放弃
斗劲,比力
东道主,东道主人
放荡不羁,荡检逾闲
仓促,匆匆
大动干戈,大张旗鼓
讨好,谄媚
推辞,辞谢
添枝加叶,添油加醋
别出新裁,标新立异
腐化,腐败
天理昭彰,天理难容
苍翠,葱茏
察看,查看
踩踏,踹踏
出众,拔萃
停歇,停滞
颓败,颓靡
分手,别离
才华,本领
磋商,筹商
呆似木鸡,呆如木鸡
非同寻常,非同小可
大庭广众,大廷广众
凸起,突出
富商巨贾,富商蓄贾
谈虎色变,谭虎色变
寸善片长,寸长片善
缔结,订立
发现,发觉
涕泣,涕零
从天而下,从天而降
方兴未艾,方滋未艾
得失相当,楚弓楚得
放手,罢休
称誉,称道
特性,特质
抵御,抵抗
纷乱,错乱
当立之年,而立之年
放任,放荡
额手相庆,额手称颂
突出,超过
贪婪官吏,贪官污吏
编纂,编辑
沧海桑田,饱经忧患
点缀,衬托
发纵指使,发纵指示
对于,对待
同心协力,同甘共苦
报答,酬报
不啻天渊,天壤之别
奔忙,奔波
博学多闻,博洽多闻
伴同,伴随
分别,差异
搬家,搬迁
复鹿遗蕉,覆蕉寻鹿
抵赖,退却
推卸,辞让
兵戎相见,短兵相接
吩咐,托福
缝补,补缀
不惜,鄙弃
不休,不停
充满,填塞
听天安命,听天由命
诚心,赤心
创办,创造
推心致腹,诚心诚意
动人,动听
体制,体系
出现,呈现
才力,才华
返老归童,返老还童
徒有虚名,忝窃虚名
返老还童,长命百岁
抄写,誊写
倒退,退缩
提心吊胆,胆战心惊
丰润,丰满
诚挚,陈恳
八面玲珑,八面驶风
赌咒发誓,赌誓发愿
风味,风韵
采摘,采撷
反对,反驳
罢免,罢黜
恶人,暴徒
沉沦,腐化
百举百全,百举百捷
蚌病成珠,蚌病生珠
跌宕不羁,跌荡不羁
变化不测,变化无常
变化多端,波云诡谲
不足为意,不足介意
风卷云涌,风起云涌
诋毁,诽谤
不朽,不灭
东主,店主
拂衣,拂袖
不破不立,除旧布新
谈吐,辞吐
单薄,菲薄
不声不响,不言不语
