信口开喝,信口开河
靠拢,靠近
烦懑,苦恼
心思,心情
晓得,知晓
充沛,充裕
现存,现有
仔肩,职守
富丽,绚丽
发觉,察觉
成家立业,成家立计
吵闹,嘈吵
溃不成军,风声鹤唳
风起云涌,风靡云涌
心如悬旌,心神不定
相连,衔接
沉渣泛起,沉滓泛起
灾殃,灾荒
创办,开创
珍贵,珍重
安逸,称心
从前,畴昔
怅惘,惆怅
出洋,放洋
豺狼当路,豺狼横道
效劳,服从
雄壮,雄浑
争长竞短,争长论短
案兵束甲,案甲休兵
限制,限度
覆蕉寻鹿,覆鹿遗蕉
傲慢,自高
潇洒,超逸
纯洁,纯碎
寸心,寸衷
自我作故,除旧布新
苦尽甘来,苦尽甜来
走斝传觞,走斝飞觥
才智,才气
兴办,征战
称誉,赞誉
胸宇,胸怀
自暴自弃,自轻自贱
血本,资金
处罚,科罚
从容,安稳
薪桂米珠,薪桂米金
风流,风骚
况且,况兼
窒息,阻碍
稀疏,稀零
可怕,恐慌
宽广,雄伟
忖度,猜想
安如磐石,覆盂之安
增加,扩充
龇牙咧嘴,龇牙裂嘴
哀悼,追到
信件,尺简
开卷有得,开卷有益
反叛,反抗
罪该万死,罪贯满盈
形成,造成
傲骨嶙嶙,铮铮铁汉
之前,曾经
作威作福,飞扬跋扈
串话,串音
粗心大意,草草了事
拽巷啰街,拽巷攞街
重蹈前辙,重蹈覆辙
藏垢纳污,藏污纳垢
忏悔,追悔
兴旺,昌隆
空白,空缺
摧坚陷阵,摧锋陷阵
放肆,猖獗
旭日,朝晖
俯看,俯视
庄重,郑重
粗犷,粗莽
粗心大意,粗心浮气
心腹,知音
巡回,巡行
罪行,罪责
自信,自傲
学塾,学宫
发愤图强,奋发有为
喧嚷,嘈吵
浮光掠影,走马观花
枝叶扶疏,枝繁叶茂
争辩,宣闹
亏折,亏空
夸奖,称赞
下寨安营,安营下寨
逢场作乐,逢场作趣
再接再厉,知难而进
粗拙,粗造
心绪恶劣,愁肠百结
安宁,安然
开销,支出
志同道合,惺惺相惜
唇齿相依,巢毁卵破
自主,自立
开销,支拨
哀恸顽艳,哀感顽艳
住宿,歇宿
幸好,辛亏
转嫁,转移
扶助,赞成
差错,舛讹
操心,费神
乘坚策肥,乘坚驱良
从容,安详
发达,昌盛
凶恶,粗鲁
壮丽,雄壮
转化,转移
再作冯妇,重作冯妇
扣问,询问
粗疏,粗糙
俯首听命,俯首贴耳
孜孜不怠,孜孜无倦
直捣黄龙,长驱直入
揣摸,猜度
贤良,贤达
爱戴,羡慕
妨碍,阻止
悬想,揣想
学问,知识
众醉独醒,愤世嫉俗
暗渡陈仓,暗送秋波
称号,称谓
寻视,巡视
心酸,苦涩
兴办,创立
知人善任,选贤举能
凶悍,凶残
笑容,笑脸
杼柚,杼轴
作法自毙,自取灭亡
废止,废除
风仪,风采
处分,责罚
处分,治理
刑罚,科罚
付出,支付
掀天揭地,翻天覆地
卓有成效,行之有效
左右,操纵
诪张为幻,诪张变眩
惨不忍闻,惨绝人寰
揣摸,猜想
开心,欣喜
罪恶,邪恶
斩钉切铁,斩钢截铁
腐朽,腐烂
效尤,效法
心痒难挝,心痒难挠
复宗绝嗣,覆宗灭祀
壮丽,雄伟
缠夹不清,缠杂不清
朝日,朝晖
行同狗彘,行若狗彘
敷衍了事,敷衍塞责
处理,处罚
乡亲,梓乡
彰往考来,志骄气盈
粗劣,粗糙
仓卒,仓猝
自鸣得意,趾高气扬
反躬自省,反躬自问
作好作歹,做好做歹
息款,息钱
相近,附进
修缮,修葺
哀感天地,哀感顽艳
拽巷啰街,拽巷逻街
反响,反映
趁人之危,趁火打劫
灿烂,鲜丽
喧华,嘈杂
粗暴,粗犷
兴趣盎然,兴高采烈
下手,着手
遨游,飞翔
烦恼,烦躁
乘虚而入,新浪搬家
信札,尺素
察访,查访
在朝,在野
空名,虚名
充分,充沛
心口不一,炫石为玉
作废,废除
校对,校阅
再生,复活
开除,辞退
傲慢,狂妄
喜不自胜,喜形于色
安堵如故,相安无事
付出,开销
细致,详细
安土重迁,安家落户
克己奉公,奉公守法
巡视,张望
休息,休憩
战地,战场
创立,开办
丰功懿德,丰功茂德
壮丽,壮伟
自傲,自负
遵命,遵照
凶狠,残暴
崇敬,看重
豺狼塞路,豺狼横道
饭铺,饭馆
争吵,争论
选拔,采用
伐罪,征讨
争执,争持
心伤,心酸
挨户,挨门
志向,志愿
口如悬河,哓哓不停
肥沃,肥饶
开门见山,直抒己见
父老,长者
总角之交,总角之好
作法自毙,自投罗网
风言风语,飞短流长
灾患,灾祸
作工,做事
浮图,浮屠
放浪不拘,放浪无羁
战术,战略
呈现,线路
枯树新芽,枯树生花
惩办,惩罚
指斥,责备
掌管,控制
场合,场地
粗壮,粗大
放浪,猖狂
自诒伊戚,自贻伊戚
阿意取容,阿谀奉承
中和,中庸
簠簋不饰,簠簋之风
宽心,宽解
挨肩叠背,挨肩并足
尊师贵道,尊师重道
兴亡,昌隆
操纵,支配
参差不齐,错落有致
寻找,追求
幸亏,幸而
喜不自禁,欣喜若狂
照猫画虎,西颦东效
自吹自擂,自我吹嘘
创办,创建
撤退,除去
罪不容诛,罪恶昭着
周围,周遭
下手,开头
场所,方位
发作,发火
乘凉,歇凉
风姿绰约,风韵犹存
西式,西法
叱骂,咒骂
准许,承若
愤怒,震怒
反复无常,苍黄翻覆
嫌隙,心病
惭凫企鹤,自惭形秽
处分,处理
兴奋,振作
才具,才气
揣摩,猜想
昆仲,昆玉
暗室逢灯,雪中送炭
粗暴,粗野
凿壁借光,凿壁偷光
形踪,形迹
烦文缛礼,繁文缛节
咨询,询问
分别,分手
垦切,真挚
传颂,赞美
渲染,衬着
质地,质料
丰衣足食,足食丰衣
匆忙,匆急
发扬光大,阐扬光大
安全,安然
夸大,夸张
心慌意乱,惴惴不安
凶恶,犀利
洗沐,洗澡
参加,插足
县令,县长
珠围翠拥,珠围翠绕
暗杀,行刺
诚恳,针织
职分,职责
凶悍,凶狠
张甲李乙,阿猫阿狗
纷纷扬扬,纷纷洋洋
忠实,诚实
阵列,陈列
阿谀取容,阿谀奉承
相安无事,风平浪静
悬头刺股,悬梁刺股
承受,承袭
克绍箕裘,成家立业
止戈为武,止戈兴仁
发表,宣告
仓库,栈房
心情,心理
苦心经营,费尽心机
绰有余裕,绰绰有余
自傲,自尊
发轫,开端
中午,正午
犯罪,罪人
再生,再造
发人深省,发人深醒
杂沓,错落
指点迷津,指破迷团
醇厚,醇朴
璀璨,绚烂
传播,宣称
分明,真切
初阶,开头
向往,醉心
发现,浮现
琢磨,考虑
行囊,行李
创剧痛深,创巨痛深
宽敞,空旷
咨询,筹商
凿壁偷光,废寝忘食
主要,重要
早晨,朝晨
防备,防止
自命清高,自我陶醉
恳求,苦求
下笔成章,出口成章
称扬,赞美
先河,开端
喜好,醉心
夸大,放大
层出不穷,层见迭出
发卡,发夹
成效,成果
主意,主见
阻拦,阻挠
恪守,遵守
信件,尺书
贩夫皂隶,贩夫走卒
村夫俗子,村夫野老
雪窗萤几,雪窗萤火
侦查,考查
株连,遭殃
发傻,发姣
聪明才智,聪明智慧
安全,安静
成就,造诣
分辩,辞别
制伏,校服
出何典记,出何经典
巡回,巡游
巡查,巡视
叱骂,责骂
喜从天降,喜出望外
直立,矗立
自然屯,自然村
凶暴,狂暴
星星之火,星火燎原
训导,训诲
反攻,袭击
走马上任,走马赴任
刻意,负责
指斥,斥责
宣传,宣称
左右,掌握
传播,宣传
枝词蔓说,枝辞蔓语
学问,常识
妇姑勃溪,妇姑勃溪
寻开心,开玩笑
休戚相关,巢毁卵破
炊臼之戚,炊臼之痛
谢绝,阻挡
仔细,周详
下落,着落
作客,做客
选拔,选择
准许,承诺
指挥,辅导
悬鹑百结,鹑衣百结
兴高采烈,心花怒发
出色,增光
稚子,稚童
宽大,宽广
凤友鸾交,凤友鸾谐
刑罚,处罚
赠送,馈遗
坐立不安,踧踖不安
作舍道边,筑舍道傍
招贤纳士,爱才如命
佛寺,梵刹
招待,款待
絺章饰句,絺绘章句
口惠而实不至,空头支票
才具,才智
反响,反应
复活,新生
周至,周详
按序,按次
枯木再生,枯枝再春
心悦诚服,心甘情愿
控制,限定
朝不虑夕,朝不谋夕
寻思,陈思
滋生,繁茂
哀鸿遍野,疮痍满目
众目昭彰,昭然若揭
窒碍,防碍
恳切,真挚
忖度,忖测
繁荣兴旺,繁荣昌盛
宽裕,富有
寻根究底,寻根问底
阻拦,阻遏
作怪兴妖,兴妖作孽
心中芥蒂,心存芥蒂
仙姿玉色,仙姿玉质
防守,防御
珍惜,珍摄
富裕,浊富
浮现,线路
复杂,繁杂
制服,栈稔
充分,充塞
出入无间,畅通无阻
昭彰,显明
妨碍,阻扰
成亲,成婚
住客,房客
形似,相仿
充裕,阔气
作茧自缚,袖中藏火
安乐,快乐
招唤,招待
安排,支配
撤消,消除
直截了当,直言不讳
扩大,扩张
空洞无物,长篇大论
伫立,矗立
自取灭亡,自掘坟墓
发作,发生
寸丝不挂,赤身露体
宽大,宽绰
蜚短流长,飞流短长
辛劳,辛勤
坐而论道,纸上谈兵
仔细,细心
钻冰取火,钻冰求火
秀丽,秀气
喧闹,繁华
防备,防范
可靠,靠得住
揣摩,琢磨
发憷,犯憷
出类拔萃,铮铮佼佼
殖民地,附属国
伐毛换髓,伐毛洗髓
反叛,抗争
凶恶,残忍
开放,绽放
喧喧,喧闹
谢绝,辞让
诚心,诚恳
腐化,腐蚀
吵闹,喧华
费力,费劲
知过必改,知过能改
称心如意,踌躇满志
才华横溢,才高八斗
新生,重生
信托,信赖
休憩,暂停
蓄志,蓄意
丰富,充足
寸有所长,尺短寸长
主食,瞩目
职守,责任
心满意足,称心快意
开发,开导
初生之犊不畏虎,初生牛犊不怕虎
放浪不拘,放荡不羁
开怀,畅意
安祥,自在
卓绝,卓越
嗤笑,嘲弄
腐朽,腐臭
正规,正路
凶暴,凶狠
稀少,稀罕
再生,新生
仿制,仿照
指使,支使
张三吕四,张甲李乙
超群拔萃,超群轶类
乘人之危,乘虚而入
快人快语,快嘴快舌
振动,颤动
专心致志,之死靡它
残杯冷炙,残羹冷炙
转死沟壑,转死沟渠
出口伤人,血口喷人
挨风缉缝,捱风缉缝
侏儒观戏,矮人看戏
残兵败将,虾兵蟹将
发奋,奋发
充分,充裕
忠言,针砭
心满意足,踌躇满志
争长争短,争长竞短
巡视,放哨
啄磨,考虑
从容不迫,从容自如
差强人意,心满意足
组合,组装
宽宏大度,宽洪大度
奉为圭臬,奉若神明
整个,系数
阻挠,阻遏
岘山情,岘山泪
自得,自满
自助,自立
餐风宿草,餐风宿露
珍宝,至宝
凶残,狰狞
中魔,着魔
专一,纯碎
心惊肉跳,心惊胆落
传扬,张扬
夸奖,赞赏
枯木朽株,枯树开花
控制,负责
参预,插足
尺寸之地,尺山寸水
反朴还淳,反正还淳
戳穿,拆穿
执拗,执著
茶余酒后,茶余饭饱
信号,暗号
称扬,赞赏
珍禽奇兽,珍禽异兽
照应,看护
转辗反侧,辗转反侧
寻求,找寻
崭露头角,崭露锋芒
分别,分辩
彰明较著,显而易见
夸耀,炫耀
福气,福泽
珠联璧合,相得益彰
初叶,开始
承诺,许可
测验,考试
心直口快,直肚直肠
开疆拓境,开疆辟土
征讨,诛讨
传扬,宣传
出席,参与
阻击,阻拦
自我陶醉,自鸣得意
巡哨,巡视
心狠手辣,残酷无情
安静,镇静
叩谢,致谢
创设,开办
侃侃谔谔,直言不讳
分开,张开
超过,跨越
凶恶,残暴
指望,渴望
至亲好友,至爱亲朋
传递,转达
法例,法规
左右开弓,左宜右有
放虎归山,放龙入海
正轨,正途
负乘斯夺,负乘致寇
分甘共苦,安危与共
希翼,指望
忠心,诚意
总角之交,竹马之交
存心,蓄谋
信息,新闻
创制,创建
发扬,阐扬
扶危持倾,扶颠持危
安居乐业,安身立命
正派,正经
出售,发卖
显露,泄漏
储存,储蓄
灼热,炽热
扩大,放大
真心,诚意
错综复杂,错综相连
凡夫,小人
鳌掷鲸吞,鳌掷鲸呿
兴办,开发
震古烁今,震古铄今
反复,重复
黯然神伤,黯然销魂
安身,驻足
心口不一,胸无城府
创建,制造
傲岸,傲慢
撤废,铲除
聱牙诘屈,聱牙诘曲
选择,采取
开云见天,开云见日
殉难,阵亡
矮子看戏,矮子观场
指名道姓,直呼其名
嚣张,疯狂
校正,校订
寸草不留,斩草除根
操戈入室,操矛入室
按部就班,遵厌兆祥
战栗,颤抖
墟落,村庄
响遏行云,震天动地
充足,足够
才气过人,才识过人
抗御,防范
叩头,叩首
助人下石,助纣为虐
下车伊始,新来乍到
呈现,显露
垂问,照顾
负固不服,负阻不宾
相遇,邂逅
心不在焉,心猿意马
昭然若揭,显而易见
窥察,窥探
佐理,助理
惨无人道,豺狼成性
春和景明,风和日丽
诚信,诚实
开头,开首
仙游,牺牲
责难,非难
放恣,放荡
壮丽,富丽
相对如宾,相待如宾
泛论,畅谈
姿容,相貌
揣度,猜度
出尔反尔,翻云覆雨
反目成仇,反眼不识
床上叠床,床上施床
作壁上观,坐视不救
发布,宣布
才干,才能
心服口服,服服贴贴
才貌双全,才貌双绝
喟然太息,喟然长叹
贤才君子,贤良方正
阻挠,阻止
准则,法则
犯法,犯罪
呈现,显现
执法不阿,执法如山
知心,知音
限定,限度
从命,服从
粉妆玉琢,粉装玉琢
层出不穷,层见叠出
斟酌,琢磨
储存,贮存
先下手为强,先发制人
初步,开头
贮存,贮蓄
尊奉,崇奉
充实,充裕
自夸,自满
反抗,造反
削铁如泥,新发于硎
中派主义,宗派主义
张眉努目,张眉努眼
风环雨鬓,风鬟雨鬓
帐幕,帐蓬
注明,注解
沉着痛快,沉著痛快
乘人之危,雪上加霜
招贤礼士,招贤纳士
寸草不留,消灭净尽
鲜嫩,鲜活
知彼知己,知彼知己
风雨如晦,风雨晦暝
兴奋,兴盛
置之不理,置若罔闻
出口伤人,出言不逊
从命,尊从
丈量,测量
闲扯,闲谈
安于现状,自甘堕落
放浪,放荡
奋起,振作
充耳不闻,置若罔闻
乘风破浪,长风破浪
传杯换盏,传杯送盏
真心实意,真心真意
止渴思梅,止渴望梅
彻上彻下,彻里彻外
喜报,喜讯
喜气洋洋,笑逐颜开
串连,串通
采兰赠芍,采兰赠药
筹办,筹备
反酸,嗳酸
凯旅,凯旋
安乐,安静
捆绑,系结
绚烂,鲜艳
享受,享福
凶暴,凶横
绸缪,缠绵
安放,放置
出人头地,卓尔不群
否决,抗议
鞍马劳倦,鞍马劳神
像出生入死,粉身碎骨
向往,瞻仰
发抖,战抖
折冲尊俎,折冲樽俎
兴奋,振奋
才华,材干
处之泰然,指挥若定
诚实,赤诚
才华,才智
秀丽,绚丽
显要,显达
哀悼,哀痛
扩充,扩大
专科,专长
知友,知己
显露,走漏
愁闷,苦闷
傲雪欺霜,傲霜斗雪
忠实,诚挚
凶暴,按凶恶
旷日积晷,旷日经久
阻挡,阻难
开心,欣忭
形容,形色
贤能,贤良
安闲,闲暇
争持,冲突
崭新,新鲜
存心不良,心怀叵测
吹垢索瘢,吹毛求疵
赠给,赠送
飞舞,飞行
恪守,遵循
胸中丘壑,胸有丘壑
传布,宣扬
征伐,诛讨
兴奋,兴隆
枕戈以待,枕戈达旦
心乱如丝,心乱如麻
最佳,最好
喜好,宠爱
安逸,闲逸
先兆,征兆
奥妙,奥秘
仔细,细致
充分,充实
阻挠,阻碍
选贤与能,选贤任能
行尸走肉,走肉行尸
炙手可热,烜赫一时
佐治,襄理
覆巢倾卵,覆巢破卵
吹毛求疵,吹毛索瘢
安良除暴,除暴安良
遭逢时会,遭遇际会
滞碍,阻碍
尊重,爱戴
口似悬河,口若悬河
学友,校友
彰往察来,彰往考来
从新,重新
着名,驰名
苌弘化碧,苌弘碧血
幸运,走运
开疆拓土,开疆辟土
寻求,追求
姿态,状貌
怫郁,愤懑
咂嘴咂舌,咂嘴舔唇
反宾为主,喧宾夺主
泄漏,走漏
存身,藏身
成千累万,成千论万
溃烂,腐化
复员,转业
楚楚可怜,楚楚可爱
壮阔,宽阔
作弄,戏弄
宽待,宽恕
相当,非常
整装,治装
张目结舌,瞠目结舌
忠告,箴规
智勇兼全,智勇兼资
仓促,匆匆
险遭不幸,险遭不测
夸奖,赞叹
坐法,犯罪
习俗,风气
信手,恪守
腐化,腐败
苍翠,葱茏
伏低做小,做小伏低
察看,查看
踩踏,踹踏
左右支绌,捉襟见肘
协理,襄理
蜚短流长,造谣中伤
谗谄,陷害
氛围,空气
行踪,足迹
阔气,阔绰
震天动地,震天撼地
乡村,村落
罪不容死,罪不容诛
协助,襄助
心荡神摇,心荡神移
昂扬,昂然
磋商,筹商
亏折,亏本
转变,转折
非同寻常,非同小可
坐罪,治罪
效劳,服务
惺惺作态,装模作样
浮夸,虚夸
富商巨贾,富商蓄贾
腥风血雨,血雨腥风
仙山楼阁,仙山琼阁
反败为胜,转危为安
寸善片长,寸长片善
再建,重建
咨询,筹议
揆情度理,揆理度情
碍手碍脚,触手碍脚
发现,发觉
从天而下,从天而降
方兴未艾,方滋未艾
称誉,称道
作茧自缚,自掘坟墓
走为上策,走为上计
制胜,治服
安全,安详
纷乱,错乱
放纵,纵脱
放任,放荡
形似,相似
聪慧,贤慧
心灵手巧,心灵手敏
垂头丧气,自怨自艾
发纵指使,发纵指示
张惶失措,张皇失措
直抒己见,直言不讳
暗杀,暗算
安谧,安靖
自作自受,自投罗网
雄伟,魁梧
分别,差异
复鹿遗蕉,覆蕉寻鹿
凶恶,粗暴
钻穴逾墙,钻穴逾隙
争吵,喧闹
洗沐,洗浴
休息,小憩
卒然,骤然
宽阔,空旷
夫子,孔子
恣肆,狂妄
造言生事,造谣生非
朱绂,朱黻
凶险,邪恶
作品,着述
诚心,赤心
喜欢,醉心
创办,创造
嗤笑,戏弄
克服,治服
出现,呈现
才力,才华
返老归童,返老还童
返老还童,长命百岁
可耻,耻辱感
真理,真谛
丰润,丰满
诚挚,陈恳
正中下怀,称心如意
注视,瞩目
重整旗鼓,重起炉灶
新奇,新颖
风味,风韵
采摘,采撷
展现,显现
张罗,筹措
兴废,兴衰
孜孜矻矻,孳孳矻矻
反对,反驳
自郐以下,郐下无讥
沉沦,腐化
熊罴之士,熊虎之士
照拂,照料
壮伟,雄壮
新鲜,鲜嫩
消灭,销毁
自强不息,虚度年华
作奸犯科,知法犯法
自尊,自重
珍摄,珍重
暗箭伤人,暗箭难防
风卷云涌,风起云涌
专心致志,心无旁骛
称扬,赞颂
斋心涤虑,洗心涤虑
废然而返,虚此一行
心花怒放,欣喜若狂
拂衣,拂袖
触物伤情,触目伤怀
按名责实,控名责实
众口称善,口碑载道
出师,发兵
风餐露宿,餐风沐雨
安安逸逸,安闲自得
修饰,装点
从兹,自兹
重兴旗鼓,重振旗鼓
雪恨,雪耻
朽败,腐朽
产业,资产
昆虫,虫豸
风马不接,风马牛不相及
整日,终日
才气,才调
困惑,猜疑
雄心万丈,雄心壮志
指责,斥责
熙来攘往,纷至杳来
撤退,除掉
安身之地,安身之处
妨碍,阻碍
详备,详尽
行运,走运
创制,制造
壮阔,开朗
粗糙,粗陋
心腹,挚友
冲州撞府,冲州过府
作乱,反叛
峥巆,嶒嵘
唇揭齿寒,巢倾卵破
徇私舞弊,自私自利
开花,着花
仙游,作古
自大,自得
主见,宗旨
从容,安定
反客为主,喧宾夺主
先声夺人,先礼后兵
凹下,凹陷
响彻云际,响彻云霄
付之一笑,嗤之以鼻
追忆,追溯
哭泣,抽泣
缠绵悱恻,辗转反侧
创造,制造
放任,放手
阿谀奉承,阿谀奉迎
自出机杼,自出机轴
发表,宣布
自己,自身
发愤,奋发
爱才若渴,知人善任
风仪,风度
舛误,错误
烦琐,繁杂词语
序言,绪论
选取,选拔
箴规,针砭
储备,储存
训练有方,训练有素
争辩,冲突
飞觥献斝,飞觥走斝
浮生一梦,浮生若梦
开心见诚,开诚相见
喜欢,心爱
撮土为香,撮土焚香
斥责,质问
獐头鼠目,贼眉鼠眼
废寝忘食,枵腹从公
准许,照准
才具,才干
创制,创设
制止,制约
伏贴,安妥
总数,总额
扶养,抚养
罚不当罪,罪不当罚
防患未然,防患未萌
惨淡,暗澹
制约,限制
仇恨,仇隙
学徒,学生
粲焕,鲜丽
阻碍,阻难
欣欣向荣,蒸蒸日上
争强斗胜,争权夺利
开心,快乐
凿壁偷光,悬梁刺股
自取毁灭,自取灭亡
雄兵,雄师
朽木不可雕,朽木不雕
战抖,战栗
出口成章,出语成章
创立,创设
筹划,筹办
行将就木,风烛残年
服帖,服理
逐宕失返,逐流忘返
快速,讯速
风中之烛,风中残烛
畅想,遐想
放手,放纵
聪慧,聪明
喜怒哀乐,喜怒无常
征服,治服
创作,创造
扶老携幼,携幼扶老
粗暴,粗鲁
跖犬噬尧,跖狗吠尧
按序,挨次
振撼,震荡
宰相,宰辅
喧嚣,喧嚷
校阅,雠校
再造,复活
梵呪,梵咒
风起云涌,风靡云蒸
寸步不离,形影不离
作假,虚假
才情,才智
智小谋大,知小谋大
窒塞,障碍
词章,词翰
安宁,安祥
成就,造就
兴致勃勃,兴趣盎然
负俗之累,负俗之讥
挚友,相知
自鸣得意,踌躇满志
新仇旧恨,血海深仇
副手,助理
血肉模糊,血肉横飞
造谣中伤,飞短流长
乘人之危,趁火打劫
重振旗鼓,重整旗鼓
秀丽,秀雅
场合,场面
遐迩着闻,遐迩闻名
测度,猜度
传布,传颂
充沛,充盈
创造,制作
反其道而行之,反治其身
宣传,转播
彻夜,整夜
掌握,职掌
尊严,尊容
仿效,仿造
斩木揭竿,斩竿揭木
指东划西,指东画西
助手,襄助
嗤笑,嘲讽
心悦神怡,心旷神怡
匆匆中,匆忙
仙姿佚貌,仙姿玉质
沉迷,陷溺
佛口蛇心,笑里藏刀
侦查,考核
富可敌国,富堪敌国
重温旧业,重理旧业
发抖,战栗
成天,终日
妨害,窒碍
中断,中辍
朝梁暮晋,朝梁暮陈
猜想,猜臆
惨无人理,惨无人道
飞鸿踏雪,飞鸿雪爪
愁眉不展,蹙额颦眉
振撼,颤动
充实,富裕
征服,驯服
放任,放浪
防守,防范
腐臭,腐败
制服,战胜
希奇,新奇
分袂,辞别
徇情枉法,自私自利
相关,相干
滞碍,障碍
习以为常,置若罔闻
憎恨,憎恶
放荡,狂放
枝头,枝端
安分守己,循规蹈矩
参差不齐,稚气未脱
反经从权,反经行权
显贵,显赫
分裂,支解
主意,想法
作恶,非法
差池,舛错
克制,胁制
忠厚,诚挚
残暴,狰狞
繁芜,错乱
分毫不爽,分毫无爽
吹毛求疵,洗垢求瘢
称心如意,自鸣得意
侦察,窥探
创新,翻新
斩尽杀绝,斩草除根
安闲,安静
只轮不反,只轮无反
知友,知心
知交,至友
正视,重视
炊金馔玉,酌金馔玉
吃力,辛勤
口是心非,心谤腹非
察看,查察
主张,倡导
放肆,狂妄
增收节支,开源节流
