敝绨恶粟,敝衣粝食
天差地远,天壤之别
吐哺捉发,吐哺握发
富埒王侯,富有天下
颠倒黑白,颠倒是非
风流倜傥,风流跌宕
放浪形骸,放荡不羁
挺拔,特立
抱薪救火,抱薪救焚
噩梦,恶梦
独吞,独占
分门别类,比物连类
丁宁,打发
天灾人祸,飞灾横祸
偷盗,盗窃
挺立,特立
促使,推动
土地,地盘
比肩系踵,比肩继踵
大略,大要
粗犷,粗糙
推延,推迟
避坑落井,避阱入坑
烦嚣,纷扰
不徐不疾,不疾不徐
多才多艺,多材多艺
繁芜,错杂
操心,费心
坍台,塌台
颠覆,打倒
东奔西窜,东奔西逃
扼要,粗略
禀赋,天才
肤浅,菲薄
粉白黛绿,粉白黛黑
处之泰然,从容不迫
大势,大局
扶持,扶植
不识时变,不识时务
出格,特地
贪婪,贪念
变化无方,变幻莫测
道东说西,道西说东
擦掌磨拳,蠢蠢欲动
辩解,分辩
拔本塞源,本末倒置
得罪,触犯
太奶奶,曾祖母
不见圭角,不露锋芒
刀耕火种,刀耕火耘
不甚了了,不知所以
福不重至,福无双至
发言,谈话
跋山涉水,奔走风尘
调理,调整
北门之管,北门管钥
雕肝琢膂,雕肝镂肾
畅所欲为,畅所欲言
宝刀不老,宝刀未老
财源,财路
遏制,遏止
粗衣粝食,粗茶淡饭
不法,犯罪
体系,体例
博古通今,博学睿智
抚育,抚养
探望,拜候
踌躇,迟疑
同宗,本家
挑三拨四,挑三豁四
打得火热,打成一片
防止,防御
分派,分配
长篇大套,长篇大论
差距,差别
等第,等级
胆大心小,胆大心细
投机取巧,投机钻营
吊丧,吊祭
单薄,薄弱
东窗事发,图穷匕见
拖拉,拖沓
颓败,颓丧
弹指之间,电光石火
初试锋芒,初露锋芒
别具只眼,独具慧眼
添补,填充
促使,催促
传递,通报
逞强好胜,逞强称能
擦拳磨掌,蠢蠢欲动
尺度,标准
倡始,提倡
舛误,讹谬
砥砺名节,砥砺清节
残落,凋谢
法子,方法
发怒,愤怒
独出心裁,独具匠心
飞砂走石,飞砂转石
凤凰于飞,夫唱妇随
处之怡然,处之晏然
窜匿,逃避
腐烂,腐化
恬不知羞,恬不知耻
大快人心,痛快淋漓
法式,程序
不由自主,城下之盟
断圭碎璧,断缣零璧
插手,插足
吊唁,悼念
创痍满目,疮痍满目
唾手可得,唾手可取
曾经沧桑,饱经沧桑
别开生面,独出新裁
箪瓢屡空,箪瓢陋巷
不屑一顾,不念旧恶
防地,防线
拆字,测字
大意,粗略
大白,暴露
停辛伫苦,停辛贮苦
繁殖,繁衍
悲喜交集,百感交集
鼎力,大力
富饶,富庶
扮演,表演
豺狼当道,豺狼横道
同心同德,风雨同舟
不避汤火,赴汤蹈火
飞扬,飞腾
不见圭角,不露圭角
惨不忍睹,惨绝人寰
单人独马,单枪匹马
倡导,听任
雕残,凋落
天真无邪,天真烂漫
帮手,辅佐
不甘落后,不敢后人
避影匿形,避影敛迹
雕零,凋谢
差池,不对
同心合力,同心协力
鼎力,大举
多谋善断,当机立断
讨论,探讨
奋发蹈厉,蹈厉奋发
蜂屯蚁杂,蜂屯蚁聚
不亦乐乎,不可开交
大快朵颐,大吃大喝
童稚,童趣
东拼西凑,东挪西借
富人,富豪
同情,恻隐
避难所,避风港
初露头角,初露锋芒
冲荡,飞漱
悲惨,悲哀
懆急,烦躁
补充,填充
分散,分开
被褐怀玉,被褐怀珠
笔墨官司,笔枪纸弹
风光,风景
繁华,发达
傍人篱壁,傍人门户
倘使,倘诺
体会,体认
通畅,通达
不欺屋漏,不愧屋漏
充斥,充实
同呼吸共命运,同命运共呼吸
探听,探问
代为说项,代人说项
出类拔萃,百里挑一
丹成相许,赤胆忠心
辩驳,驳斥
彼岸,此岸
陈腐,腐朽
不打自招,图穷匕见
痛快,称心
拜别,辞行
别开生面,独具一格
酬谢,酬报
出幽迁乔,出谷迁乔
谈笑自若,谈笑风生
大义灭亲,大公无私
烦扰,纷扰
出乎意料,不期而然
付之一炬,付之丙丁
大义灭亲,不徇私情
悲催,悲剧
不知利害,不知进退
才情,才能
奔轶绝尘,奔逸绝尘
雕肝掐肾,雕肝镂肾
捣毁,废除
同学,同砚
惩恶扬善,褒善贬恶
白嫩,白皙
粗陋,粗劣
纷至踏来,车水马龙
堂哉皇哉,堂而皇之
飞刍挽粒,飞刍挽粟
必需,必须
尘凡,尘世
耳熟能详,耳闻则诵
摧毁,粉碎
兵无常势,赌彩一掷
胆颤心惊,不寒而栗
东藏西躲,东躲西藏
迟延,耽搁
反面,反目
错误,同伴
耳鸣目眩,头晕目眩
操心,担忧
超越,突出
同乡,同亲
特有,独特
捕快,探员
条件,条款
表扬,称誉
飞驰,奔驰
敷裕,富裕
便服,常服
天翻地覆,翻天覆地
耳旁风,耳边风
同心同德,分甘共苦
额外,特地
藏踪秘迹,藏踪蹑迹
洞穴,洞窟
贪生怕死,贪生畏死
揣摸,揣测
抱宝怀珍,抱瑜握瑾
比较,比力
吊民伐罪,除暴安良
大略,粗略
分摊,摊派
测试,测验
池鱼堂燕,池鱼林木
党首,党魁
叹息,叹气
鞭笞,鞭策
抚今追昔,谈古论今
抵御,保卫
方兴未艾,方兴日盛
特殊,特地
风声鹤唳,土崩瓦解
道貌俨然,道貌凛然
濒临绝境,弹尽粮绝
饱经风霜,饱经沧桑
粗造,粗劣
东飘西徙,东迁西徙
成千累万,成千上万
岑寂,沉着冷静
褫职,夺职
代替,替换
二道贩子,贩夫贩妇
猜测,推求
拔山扛鼎,拔树撼山
诚心诚意,诚心实意
大白,分明
边疆,边陲
防止,防卫
禀赋,本性
不光,不单
调侃,嘲弄
独揽,把持
答应,答允
出一头地,出人头地
方今,而今
不假思索,不加思索
恩深义重,恩高义厚
采薪之忧,采薪之疾
店肆,店铺
白面书生,白面儒冠
草泽,草野
堵塞,断绝
体无完皮,体无完肤
他文笔流畅；故常～,代人捉刀
分庭抗礼,鼎足而立
发展,繁荣
土鸡瓦狗,土龙沐猴
嫡妻,德配
偷活,偷生
崇论吰议,崇论闳议
绰约多姿,绰约无比
法宝,宝贝
博闻强识,博览群书
不中听,不入耳
发聋振聩,醍醐灌顶
分别,分辨
二竖为灾,二竖为虐
饕口馋舌,饕餮之徒
长辈,长者
丰富多彩,多姿多彩
猜测,推测
布鼓雷门,班门弄斧
半路出家,半道出家
不约而合,不谋而合
推进,推动
持重,端庄
草草收兵,草草了事
雕饰,雕刻
胆识,胆量
饿虎吞羊,饿虎扑食
逃脱,摆脱
不负众望,不辱使命
反叛,反水
推陈出新,涤故更新
从此,此后
腾清,誊清
田庐,田里
风华正茂,风度翩翩
提纲挈领,提要钩玄
天之僇民,天之戮民
耻与为伍,耻与哙伍
波澜壮阔,波路壮阔
洞察其奸,洞烛其奸
奋发蹈厉,奋发图强
猜拳行令,猜枚行令
推广,推论
猖厥,猖狂
耳食之论,耳食之学
雕虫小技,虫篆之技
大醉,沉醉
遍体鳞伤,体无完肤
寸阴可惜,寸阴尺璧
不中抬举,不识抬举
兵连祸接,兵连祸结
提防,提神
土气,村炮
滔滔汩汩,滔滔滚滚
惦念,担心
发展,成长
卜夜卜昼,卜昼卜夜
罚款,罚金
杯觥交杂,杯觥交错
敦朴,诚实
东闪西挪,东闪西躲
敷衍搪塞,敷衍塞责
扶持,扶助
边境,边陲
疯狂,猖狂
推襟送抱,推诚相见
裁夺,顶多
变幻无常,变化无常
捕捉,逮捕
探访,访问
不分皂白,不管三七二十一
百折不回,百折不挠
不断,不时
方兴未已,方滋未艾
繁华,繁荣
不法之徒,不逞之徒
涂歌里咏,涂歌里抃
贪官蠹役,贪官污吏
白云亲舍,白云孤飞
对比,比拟
不看僧面看佛面,不看金面看佛面
打草惊蛇,风吹草动
放弃,唾弃
待人处世,待人接物
仇恨,愤恚
探究,探索
抚育,捕鱼
到底,毕竟
擦脂抹粉,涂脂抹粉
称赞,传颂
同心同德,步调一致
扶摇直上,步步登高
伏贴,妥帖
不一而足,不壹而足
发回,发还
兵书,兵法
称王称伯,称王称霸
负责,担当
不安分,不安本分
步地,大局
腐败,贪污
拜将封侯,拜相封侯
分裂,对立
庇护,蔽护
怠慢,薄待
补充,添加
吐露,暴露
波涛,波澜
投宿,投寄
大庭广众,稠人广众
分外,特地
筹议,筹商
打架,斗殴
参军,从戎
摊开,放开
透亮,透明
惩罚,处分
替古人担忧,替古人耽忧
敷裕,充裕
产品,产物
并吞,霸占
低头哈腰,点头哈腰
放胆,放手
不竭,不休
复蹈其辙,复蹈前辙
称呼,称说
璧还,璧赵
班荆道故,班荆道旧
不闻不问,不问不闻
铁板铜琶,铜琶铁板
百年不遇,铁树开花
成群结队,辍毫栖牍
炽烈,炽热
条理不清,颠三倒四
天旋地转,天摇地动
单身,独身
同日而论,同日而言
村塾,村学
挑三嫌四,挑三拣四
低劣,差劲
独具只眼,独具慧眼
成群结队,成群逐队
敌意,歹意
达人,达者
繁重,沉重
杜诗韩文,杜诗韩笔
透露,暴露
偷鸡摸狗,拔葵啖枣
处所,地点
同气连枝,同舟共济
初度,初次
调治,调解
嘲笑,嘲弄
出头露面,出人头地
扶正祛邪,扶正黜邪
推诿,辞让
风云,风波
通令,通饬
百思不解,百思莫解
佛口蛇心,包藏祸心
白日升天,白日飞升
迟缓,迟笨
反馈,反应
代理,代庖
代理,代办
办理,统治
挫折,冲击
佛头加秽,佛头着粪
搪塞,敷衍
晨光,晨曦
滴水不漏,点水不漏
德隆望尊,德高望重
不打自招,此地无银三百两
乘兴而来,大煞风景
纷乱,纷扰
变化多端,波谲云诡
调动,调遣
白云苍狗,沧海桑田
恩情,恩德
拖堂,拖课
分歧,差异
病国殃民,病民蛊国
睹景伤情,触目伤怀
仓库,堆栈
包孕,包括
摧毁,拆卸
保留,宝石
八街九陌,大街小巷
奉迎,逢迎
头昏脑闷,头晕目眩
韬光灭迹,韬光隐迹
不识高低,不知高低
抄录,抄写
不惑之年,豆蔻年华
长久,长远
烦嚣,嘈杂
复返,返回
惨酷,残暴
保票,包票
妇人醇酒,醇酒妇人
愤慨,愤激
丑恶,丑陋
天真烂缦,天真烂漫
承上启下,彻上彻下
丢卒保车,丢车保帅
撤消,废除
倒持干戈,倒持戈矛
风烛之年,风烛残年
凤凰于飞,凤皇于蜚
讨恶剪暴,讨恶翦暴
不分轩轾,等量齐观
不理不睬,不瞅不睬
荡然无存,付之东流
不合时宜,不达时宜
常常,不时
非难,驳诘
拔本塞源,拔本塞原
串连,通同
厕纸,草纸
成就,成果
耳染目濡,耳濡目染
不拘小节,不成体统
百年不遇,百年难遇
啜菽饮水,歠菽饮水
不自量力,螳臂挡车
沉痛,痛苦
遍体鳞伤,百孔千疮
通明,透明
办理,操持
宠爱,疼爱
焚膏继晷,通宵达旦
东游西荡,东游西逛
退却,倒退
粲花之舌,粲花之论
体验,体认
道貌俨然,道貌岸然
称扬,称道
同室操戈,同床异梦
闭明塞聪,闭目塞听
方今,当前
断齑块粥,断齑画粥
抚躬自问,反躬自问
分外,非分
尘土,尘埃
出售,出卖
电掣星驰,电掣风驰
斗筲之人,斗筲之器
乘间伺隙,乘间抵隙
并驾齐驱,并行不悖
不可衡量,不可估量
不必介意,不足介意
粗心大意,粗枝大叶
聪敏,聪慧
推举,推选
卑宫菲食,菲食卑宫
不厌其详,不厌求详
不易之论,不经之谈
大义灭亲,铁面无私
天翻地覆,东海扬尘
贪馋,饕餮
投鼠之忌,投鼠忌器
场合,场所
层峦叠嶂,崇山峻岭
多量,大批
不高兴,痛苦
扯旗放炮,大张旗鼓
不才,鄙人
头等,头路
拆除,废除
跋山涉水,餐风露宿
辩解,辩白
撤离,撤退
产业,财富
富埒王侯,富可敌国
扶危济困,扶弱抑强
不名一文,赤贫如洗
丰盈,丰满
土话,方言
提要,撮要
兑换,承兑
褒衣博带,博带褒衣
躲避,逃匿
残缺,残毁
抱残守缺,抱令守律
不声不响,不声不气
倒戈,投降
堂堂正正,大公无私成语
二三其德,二三其意
触景生怀,触景生情
叹息,叹惜
低头,垂头
忖度,猜度
通晓,懂得
发展,发育
大处落墨,大处落笔
放弃,摈弃
奉为神明,奉如神明
初生牛犊,不知高低
促成,促进
地面,大地
颓唐,颓废
百思不解,大惑不解
鼎成龙升,鼎成龙去
头陀,梵衲
揣测,推测
土气,土头土脑
春风得意,春风满面
尺布斗粟,斗粟尺布
持久,长期
分列,陈列
才干,才气
退却,推诿
防微杜渐,防萌杜渐
畅通,畅达
秃子,秃顶
呈报,陈诉
偷工减料,粗制滥造
天昏地暗,飞沙走石
呆子,蠢人
刀耕火耨,刀耕火耘
鄙夷,鄙视
打情骂俏,打情骂趣
负老提幼,负老携幼
惩办,处罚
大骂,痛骂
沉迷,沉沦
丁宁,叮嘱
驳倒,驳斥
偷盗,偷窃
刁滑,刁顽
体验,体会
对牛弹琴,对牛鼓簧
才貌双全,才貌超群
船主,船长
鞭笞,鞭挞
点火,焚烧
黜幽陟明,黜幽陟明
低沉,低落
捣鬼,捣乱
底细,本相
蚍蜉撼树,螳螂挡车
插科使砌,插科打诨
趁势收篷,趁势落篷
韬光养晦,杜门不出
挺直,笔直
补偏救弊,补苴罅漏
分工,单干
蛾眉皓齿,蛾眉螓首
逃避,逃匿
惩罚,处理
幡然悔悟,翻然改悔
出类拔萃,超尘拔俗
愁眉苦眼,愁眉苦脸
防微杜衅,防萌杜渐
表里相合,表里相应
不乏其人,不计其数
额外,非常
停车,泊车
腾云跨风,腾云驾雾
不测之忧,不测之祸
悲戚,悲哀
表扬,称道
必定,必然
田夫野叟,田夫野老
分派,分拨
田单,田契
扶携,提携
陈恳,诚心
分散,分布
不亢不卑,不卑不亢
不刊之论,不刊之说
东挪西撮,东挪西借
成列,布列
吞吞吐吐,不知所云
番笕,肥皂
不合,不对
不屈,不平
废止,铲除
出乎意料,出乎预料
低三下四,低声下气
风和日暖,风和日丽
不辞劳怨,不辞劳苦
慈悲,慈爱
多量,大量
恩将仇报,倒打一耙
持盈保泰,持盈守成
捶胸顿足,槌胸蹋地
沸反盈天,沸反连天
太甚,太过
八面见光,得心应手
出人意料,出其不意
不相往来,不相闻问
涕泪交垂,涕泗横流
持刀动杖,持刀执棍
不知起倒,不识起倒
寸晷,寸阴
不存不济,半死不活
编辑,编著
贬抑,诽谤
大体,大要
不动声色,泰然自若
耳熏目染,耳濡目染
丹方,方子
天天向上,成年累月
沉闷,烦闷
凡人,凡夫
摈斥,摒除
拔山扛鼎,拔山举鼎
废品,废物
不快,烦闷
复杂,繁杂词语
颠斤播两,掂斤播两
常例,常规
倒行逆施,本末倒置
倒戈,背叛
天下一家,天下为公
甜津津,甜滋滋
反咬一口,反面无情
不得要领,博士买驴
不可名状,不可言状
单纯,纯正
偷换,掉包
查看,查察
天地诛灭,天诛地灭
独到,独特
颓败,颓落
托钵,讨饭
涤秽布新,除旧布新
耽误,迟误
并吞,吞并
版图,邦畿
耽溺,沉沦
得意洋洋,抬头挺胸
抵赖,否认
丰厚,丰盛
保存,存在
蚍蜉撼树,螳臂挡车
徒劳往返,徒劳无功
出息,长进
敌意,恶意
推测,推断
揣摩,猜度
悲恸,悲痛
得步进步,贪得无厌
不在话下,不言而喻
背井离乡,颠沛流离
刀光剑影,刀光血影
戳破,点破
吊尔郎当,不修边幅
抱冤,抱屈
田连仟佰,田连阡陌
不一而足,不计其数
纯朴,纯碎
摒弃,唾弃
场合,体面
风貌,风采
愁肠九转,愁肠寸断
发抖,哆嗦
变嫌,变调
天灾地变,天灾地孽
吵架,翻脸
愤世嫉俗,愤世疾俗
触景伤心,触景生情
赐墙及肩,才疏学浅
揣摩不透,不可估量
窜匿,躲藏
短兵相接,不可开交
飞沙扬砾,飞砂扬砾
长命,长寿
提倡,听任
奋勇前进,奋发图强
沉李浮瓜,浮瓜沉李
聪敏,聪惠
大众,团体
饱以老拳,饱飨老拳
抵偿,补偿
长此以往,天长日久
烦扰,吵杂
同日而语,同日而道
怅然若失,百感交集
分庭抗礼,不相上下
调剂,调度
巴结,串通
标识,标志
才略,才力
不吝赐教,不吝珠玉
怅然,恻然
东诓西骗,东诳西骗
得体,端庄
大发雷霆,忿然作色
对症下药,对症发药
单独,独立
透彻,透辟
统辖,统治
大器小用,大材小用
博古通今,博览古今
佃农,佃户
百折不移,百折不挠
彼众我寡,敌众我寡
揣测,探求
采取,采用
百端交集,百感交集
刺目,刺眼
大略,粗心
措置裕如,从容不迫
当心,把稳
摆架子,摆老资格
访候,访问
承当,担当
跋山涉水,跋山涉川
独出心裁,独辟蹊径
烦琐,繁琐
奉求,拜托
蚍蜉撼树,不自量力
通天大邑,通都大邑
田户,佃户
不可言喻,不堪言状
打扮,扮装
出奇划策,出谋划策
不得善终,天诛地灭
推却,推绝
东征西讨,东讨西伐
罢手,停止
天翻地覆,天崩地裂
风刀雪剑,风刀霜剑
纷扰,烦闷
不顾一切,不管三七二十一
传为佳话,传为美谈
帮手,帮忙
打手势,打手式
沉痛,悲痛
鞭长不及,鞭长莫及
地主之谊,地主之谊
不赏之功,丰功伟绩
痛切,悲痛
标新取异,标新领异
抚摩,抚摸
谈天论地,谈天说地
探听,打探
博识洽闻,博闻多识
通力合作,团结一心
聪明伶俐,聪明智慧
发号布令,发号施令
风前残烛,风中残烛
巢倾卵破,唇齿相依
吹毛索瘢,吹毛索疵
八面见光,八面玲珑
储蓄,储备
多数,大都
倒闭,崩溃
方今,此刻
崇论宏议,崇论闳议
春意盎然,春深似海
停下,停驻
处处,遍地
复杂,繁琐
才高八斗,博览群书
出场,退场
调理,保养
发生,发现
策动,策划
北门之管,北门锁钥
提心吊胆,担惊受怕
代替,代庖
灯蛾扑火,飞蛾扑火
头先,头里
不胜桮杓,不胜酒力
愤世嫉俗,愤时嫉俗
地道,纯粹
东扯西拉,谈天说地
参加,出席
条记,笔记
丢掉,丢弃
打死老虎,打落水狗
匪石匪席,柏舟之誓
贬黜,贬谪
反躬自省,反求诸己
不和,顶牛
讽刺,嗤笑
从长商议,从长计议
残忍,粗暴
躲避,遁入
笨鸟先飞,坌鸟先飞
洞察一切,洞若观火
仓卒,匆促
同侪,同辈
变化无方,变化无常
特等,独特
雕虫末技,雕虫末伎
变动,变化
乘其不备,趁其不备
东央西告,东央西浼
耳食之论,耳食之见
条件,条目
不劳而获,不稼不穑
蚍蜉撼树,螳臂当车
斗艳争芳,斗艳争辉
悲痛欲绝,痛不欲生
被逼无奈,逼上梁山
不折不挠,百折不挠
徒然,顿然
贪婪无餍,贪婪无厌
白头偕老,白头到老
大概,不定
冲撞,触犯
短促,短暂
包庇,袒护
吞吃,吞噬
德隆望重,德高望重
比物丑类,比物连类
得不偿失,得不酬失
八面后珑,得心应手
天渊之别,天壤之别
豆萁燃豆,豆萁相煎
发誓,赌咒
痛哭流涕,痛不欲生
悲惨,悲凉
拔山扛鼎,拔山盖世
同日而语,同日而论
半路,半途
飞短流长,飞流短长
储存,储藏
长枕大衾,长枕大被
从头至尾,从头到尾
村庄,村落
调风弄月,谈情说爱
冰冻三尺，非一日之寒,铁杵磨针
春风得意,春笋怒发
耳熟能详,耳濡目染
髫龄,龆年
饱练世故,饱谙世故
飞砂走石,飞沙走石
从来,本来
不拘小节,吊儿郎当
叱咤风云,叱嗟风云
繁华,富贵
颓垣废井,颓垣败井
胆小如鼠,胆小如鼷
东趋西步,背道而驰
办事,服务
齿牙为猾,齿牙之猾
成亲,成家
成群结党,成群集党
才貌双全,才貌出众
长辔远御,长辔远驭
捣鬼,捣蛋
大显身手,大展经纶
背负,负担
愁眉不展,愁云满面
打破,突破
封豕长蛇,毒蛇猛兽
才高行厚,才高行洁
不合时宜,陈词滥调
访谒,访问
出生,出身
拌合,搀合
奉公不阿,奉公守法
奉陪,伴随
薄幸,薄情
版图,幅员
巴头探脑,探头探脑
不睦,顶牛
挞伐,讨伐
词穷理屈,辞穷理屈
大雨如注,大雨滂沱
床下安床,床上施床
冲撞,冲克
大发雷霆,暴跳如雷
奋起,抖擞
草木皆兵,风兵草甲
不光,不仅
分崩离析,豆剖瓜分
别具肺肠,独辟蹊径
防患未然,杜渐防萌
挑衅,挑逗
便宜从事,便宜行事
独占鳌头,独霸一方
甜头,便宜
发轫,发端
舛错,不对
灯红酒绿,醇酒妇人
残余,残存
车马盈门,车马填门
避重就轻,避重逐轻
超等,超级
担雪塞井,担雪填河
底死谩生,抵死谩生
焚膏继晷,废寝忘食
大方,大度
停滞,停止
从属,附属
恩威并用,恩威并行
访候,拜望
打破,冲破
包孕,包含
禀赋,天赋
百闻不如一见,耳闻不如目见
当兵,投军
传扬,传播
本色,本质
头昏脑眩,头昏脑眩
恩威并用,恩威并着
贩夫驺卒,贩夫走卒
吃力,费劲
不时之需,备而不用
抵御,抵制
统帅,统带
风光,得意
不法之徒,不轨之徒
图书馆,藏书楼
烦扰,烦躁
风云人物,风流人物
耽惊受怕,担惊受怕
废弃,废除
防止,避免
措手不及,猝不及防
抵触,抵抗
单子,单据
卑贱,卑劣
不事边幅,不事修饰
复杂,繁复
凡夫俗子,凡桃俗李
从兄弟,堂兄弟
抚躬自问,抚心自问
蕃昌,繁荣
韬匮藏珠,杜门不出
天外,太空
打法,叮嘱
分离,分手
不以为然,嗤之以鼻
宠爱,宠嬖
地区,地域
反脸无情,反面无情
粉装玉琢,粉妆玉砌
繁茂,繁盛
不遑枚举,不胜枚举
参差,错落
端相,大量
同心同德,同德一心
天府之国,天府之土
不拘小节,拓落不羁
耻笑,嗤笑
不伦不类,不僧不俗
独当一面,独立自主
田父献曝,负暄之献
访候,探望
富丽,璀璨
把握,操纵
恶徒,歹徒
磋议,筹商
出现,产生
别树一帜,别树一旗
冯唐已老,冯唐易老
蚍蜉撼树,蚍蜉戴盆
抱瓮出灌,抱瓮灌圆
风前残烛,风烛残年
昌隆,发达
齿如含贝,齿如齐贝
纷至沓来,车水马龙
惨不忍闻,耳不忍闻
倍道兼进,倍道而进
创巨痛仍,创巨痛深
不由自主,不能自已
传闻,听说
财殚力尽,财殚力竭
打家劫舍,打家截舍
分茅胙土,分茅锡土
传说,听说
夫子,夫役
不择手段,不择生冷
操刀必割,当机立断
奋斗,斗争
不识高低,不知轻重
创立,扶植
操奇逐赢,操赢致奇
大方,风雅
吩咐,调派
添盐着醋,添油加醋
半途而返,半途而废
德性,道德
板上钉钉,铁板钉钉
大富大贵,大红大紫
赤地千里,百孔千疮
筹划,打算
惦念,惦记
风格,风致
停刊,停版
爆发,产生
发愤忘食,发愤忘餐
忐忑不安,踧踖不安
匆忙,匆促
添枝加叶,添枝增叶
蹙额愁眉,愁眉苦脸
戴天蹐地,戴玄履黄
独木不林,独木不成林
螭魅罔两,魑魅罔两
哺养,捕鱼
此唱彼和,夫唱妇随
风物,风景
出乎意料,出其不意
腐败,腐朽
倒横直竖,颠三倒四
焚琴煮鹤,大煞风景
弹指之间,曾几何时
复杂,丰富
鼎足而三,鼎足而立
特等,非凡
茶余酒后,茶余饭后
誊录,钞写
愁然,恻然
剥削,抽剥
大概,粗略
大动干戈,大张挞伐
饿殍遍野,饿莩遍野
分别,差别
搀抢,搀枪
提要,大纲
步步高升,百尺竿头
调治,调节
多事之秋,多灾多难
不只,不单
锋芒毕露,锋芒逼人
出言无状,大吹大擂
蝉翼为重,本末倒置
耽溺,沉迷
策动,发动
不习水土,不服水土
标新竞异,标新立异
发号出令,发号施令
白搭,白费
愤慨,怫郁
同日而语,同日而言
阐幽抉微,阐幽明微
提倡,倡议
东走西撞,东碰西撞
八纮同轨,天下一统
东零西散,东零西落
翻滚,翻腾
出于无奈,必不得已
愁眉锁眼,愁云满面
步调,程序
初露头角,初出茅庐
慈祥,慈爱
天性,天赋
奋发,奋勉
彻内彻外,彻里至外
填补,填充
悲恸,痛哭
出售,贩卖
发起,发动
风靡,风行
餐风宿水,餐风宿露
怆然泪下,怆然涕下
动摇,波动
天打雷击,天打雷劈
不折不扣,彻头彻尾
法外施仁,法外施恩
并头莲,并蒂莲
不可思议,不堪设想
出人意外,出其不意
粉身灰骨,粉身碎骨
探访,拜候
点火,点燃
出类拔萃,天下无双
耻笑,嘲讽
才华出众,才华盖世
担负,担当
不动声色,不露声色
不胫而走,风行一时
定命,定数
沉着,沉稳
特意,特地
分析,阐述
厕足其间,厕身其间
出人意料,出人意表
耳不离腮,唇齿相依
匪夷所思,咄咄怪事
豆分瓜剖,豆剖瓜分
晨光熹微,晨曦微露
包围,包抄
弹冠相庆,额手称庆
不可思议,不可捉摸
退军,退兵
天性,赋性
恬淡,澹泊
尔后,而后
超凡入圣,超尘拔俗
大失所望,不孚众望
层次,条理
出国,放洋
陡然,猝然
方兴未艾,风靡云蒸
辞令,辩才
初生之犊不畏虎,初生之犊不惧虎
妒能害贤,妒贤嫉能
挑三拨四,调三窝四
投机取巧,偷奸取巧
仇敌,仇家
纷繁,纷纭
不辞辛劳,不辞劳苦
串通一气,臭味相投
托辞,托词
姹紫嫣红,百花齐放
粗莽,粗暴
大度包容,大度汪洋
短小精干,短小精悍
不拘细行,不拘细节
措施,程序
天无二日,天无二日
泰极生否,泰极而否
天昏地暗,惨无天日
踌躇,踟蹰
撑肠拄肚,撑肠拄腹
参差不齐,长短不一
筹谋,策划
拜访,拜候
鞭不及腹,鞭长莫及
土崩瓦解,分崩离析
仓促,仓猝
东拉西扯,谈天说地
聪颖,聪慧
挑拨离间,推涛作浪
方式,方法
愤世嫉俗,忿世嫉俗
窜扰,窜犯
趟浑水,蹚浑水
不招自来,不速之客
惩罚,处治
不惜,不吝
短命,短寿
冬衣,冬装
长篇累牍,滔滔不绝
陈腐,腐烂
成列,摆设
奋发自强,奋发图强
百依百从,百依百随
打法,差遣
补充,补偿
不可胜数,车载斗量
分形共气,分形连气
付之一炬,付之东流
恩赐,赐予
分成,分红
丢三落四,丢三忘四
滴水穿石,半途而废
多半,大都
不骄不躁,泰而不骄
同心同德,同心戮力
标明,表明
标题,题目
递加,递增
反哺之私,寸草春晖
透露,表示
发怒,发火
发怒冲冠,发踊冲冠
不凡,超卓
腹心之患,腹心之疾
丁一卯二,丁是丁，卯是卯
饱经风雨,饱经沧桑
凸显,突显
不费吹灰之力,探囊取物
不祥之兆,大祸临头
承受,担当
跋山涉水,到处奔走
吃法,服法
得意洋洋,得意扬扬
反击,反扑
百样玲珑,耳听八方
摧毁,推翻
福如东海,福星高照
纯净,纯真
头角崭然,出人头地
发妻,德配
处心积虑,殚精竭虑
把柄,短处
推而广之,遍地开花
此唱彼和,彼唱此和
殚精毕力,殚精竭力
发蒙振槁,发蒙振落
不可偏废,统筹兼顾
偷香窃玉,长风染指
复员,退役
缠夹,缠杂
笨嘴拙舌,词钝意虚
乘车,搭车
大彻大悟,大梦初醒
跋前疐后,跋胡疐尾
厄运,恶运
布被瓦器,布衣蔬食
冰天雪窖,滴水成冰
摆布,摆布
不堪造就,不务正业
称心如意,得意扬扬
并肩作战,并肩战斗
不快,烦懑
半推半就,不即不离
办法,步骤
屯子,村落
不过尔尔,不过如此
单位,单元
奉承,逢迎
提拔,提升
同窗,同砚
悲啼,痛哭
胆破心寒,胆破心惊
泛滥成灾,多如牛毛
绰约多姿,丰姿冶丽
鞭辟入里,鞭辟着里
成千成万,成千上万
步伐,程序
天衣无缝,白玉无瑕
恩深义重,恩重如山
天公地道,大公无私
分路扬镳,分道扬镳
别辟蹊径,标新立异
同心同德,同德同心
白衣卿相,白衣公卿
丛山峻岭,崇山峻岭
出生入死,奋不顾身
尘羹涂饭,尘饭涂羹
传布,传播
俯拾即是,触目皆是
不可企及,瞠乎其后
处所,地方
成绩,成果
犯忌,犯讳
不屑一顾,掉以轻心
充满,充塞
独创,创造
吵闹,吵闹
丰裕,丰富
同心叶力,同心协力
对消,抵消
断瓦残垣,残垣断壁
八斗之才,八斗陈思
刀耕火耨,刀耕火种
谈论,讨论
