剧本,脚本
倒楣,倒霉
拒狼进虎,拒虎进狼
四海为家,断梗飘萍
使令,派遣
含冤受屈,含冤负屈
合同,契约
同归殊涂,殊途同归
东道之谊,地主之谊
平平淡淡,普普通通
十全十美,完美无缺
桀傲不驯,桀骜不逊
无所适从,进退失据
教室,讲堂
倾盆大雨,大雨倾盆
俭仆,俭省
熟视无睹,视若无睹
堆集,积聚
偏私,偏颇
奸笑,狞笑
耍手段,耍手腕
胆战心惊,惶惶不安
特为,特别
唯命是从,唯唯诺诺
推诿,推辞
排击,排击
代劳,代庖
破碎,破裂
明朗,辉煌
堂而皇之,明火执仗
亲友,亲朋
凝眸,凝视
清新,清澈
无地自厝,无地自处
推命,推步
熟手,熟稔
俊秀,俊俏
生意,贸易
漠视,蔑视
抵触,讨厌
逃脱,逃走
迁延,稽延
门可罗雀,门庭冷落
舞文弄法,舞文玩法
首尾相卫,首尾相援
明婚正娶,明婚正配
缩小,缩短
荒谬,谬误
贪杯,贪酒
随声趋和,随声附和
说古谈今,谈今论古
同声相应,情投意合
绝世佳人,绝代佳人
大志,弘愿
三江七泽,三江五湖
面有菜色,鸠形鹄面
声明,讲明
评比,评选
是非不分,黑白混淆
怕死鬼,胆小鬼
教学,教导
道殣相属,道殣相望
假心,假意
决绝,断交
水到渠成,顺理成章
警员,警察
市欢,趋奉
三妻四妾,三宫六院
轻慢,慢待
东徙西迁,东迁西徙
经书,经籍
活动,活跃
收关,结尾
毁不危身,毁不灭性
煽动,激动
无精打采,萎靡不振
深谋远虑,深思熟虑
艰难曲折,艰难险阻
杀身成仁,铁面无私
授与,赏赐
猛然,遽然
鼎峙,鼎立
侵犯,侵凌
清理,清算
企望,祈望
披垂,披散
断念,舍弃
山珍海错,美味佳肴
糊涂,昏迷
凄凉,凄沧
声响,声音
深厚,深邃
确定,笃定
恬淡,淡泊
匠心独具,独具匠心
打猎,狩猎
鸠占鹊巢,鹊巢鸠居
待人处事,待人接物
明净,洁净
借花献佛,顺水人情
默默无闻,无声无臭
生硬,僵硬
卧室,寝室
贫贱之知,贫贱之交
拟定,拟订
手足胼胝,手足重茧
慎重,矜重
蹑手蹑足,蹑脚蹑手
倾向,目标
妥当,妥善
山明水秀,水木清华
难听,逆耳
昏头搭脑,昏头昏脑
乞贷,借款
峻峭,巍峨
身不由主,身不由己
丢魂失魄,急急忙忙
劫富济贫,杀富济贫
屈驾,枉顾
束手待死,束手待毙
飘荡,飘舞
破坏,破损
磨炼,锻炼
好处,甜头
朴实,朴素
死得其所,名垂青史
捷足先登,疾足先得
谨防,堤防
精华,精炼
启程,登程
三六九等,三等九格
竣工,达成
假造,诬捏
蓬勃,旺盛
韬光养晦,韬光用晦
对于,对付
推算,计算
趋势,趋向
德容言功,德言工貌
尽心竭力,精益求精
迷失,迷茫
趋利避害,违害就利
三告投杼,道听途说
签订,缔结
拼凑,拼集
轻便,轻省
合伙,搭伙
松捆,松绑
决断,剖断
凸起,杰出
五大三粗,牛高马大
听从,顺从
前年,旧年
恩威并用,恩威并著
群集,齐集
昏黑,黑暗
叫嚣,叫喊
恩典,恩情
素养,素质
声名狼藉,斯文扫地
明朗,晴明
跳动,跳跃
交锋,打仗
欺诈,讹诈
待贾而沽,待价而沽
无边无垠,无边无涯
遁词,饰词
时过境迁,明日黄花
守口如瓶,守瓶缄口
判若两人,迥然不同
太平盛世,文治武功
大海捞针,水中捞月
宁愿,宁肯
井渫不食,井渫莫食
亲眼所见,耳闻目睹
厄运,倒霉
师出无名,平白无故
年光,时间
明察秋毫,洞察其奸
好生之德,救苦救难
动身,登程
其它,其余
名声,名气
天才,天赋
深恶痛绝,恨之入骨
轻率,莽撞
水果,生果
推三推四,推三阻四
津津乐道,津津有味
当前,目下
天高听下,天高听卑
还淳反朴,还淳返朴
唯利是视,唯利是求
怒放,盛开
片刻,霎时
粟红贯朽,粟陈贯朽
靖言庸违,靖谮庸回
其时,当时
时刻,时间
山崩地裂,山崩地陷
红光满面,脑满肠肥
神谟庙算,神谟远算
解放,解决
水火无交,水米无干
兼顾,统筹
天翻地覆,事过境迁
环视,环顾
外患,外祸
土人,土着
竣工,停工
击毂摩肩,摩肩击毂
轻视,轻茂
同化,夹杂
颓丧,丧气
凝思,凝神
实践,实际
朦胧,模糊
土崩瓦解,地崩山摧
起始,起点
文章宗工,文章巨公
买马招兵,买马招军
求教,叨教
威信,威风
签字,署名
年底,年末
较劲,较量
疏远,提出
舞动,跳舞
凋落,雕谢
狐鸣篝火,狐鸣鱼书
暖烘烘,暖融融
祸害,祸殃
祸根,祸胎
狐兔之悲,狐死兔泣
设宴,设席
平宁,平安
偷天换日,弄虚作假
死中求生,死里求生
天衣无缝,完美无缺
上岸,登岸
旁门,歪路
无缘无故,平白无故
坏蛋,懦夫
时兴,时髦
微茫,蒙胧
天子,皇帝
无与伦比,独步天下
南征北战,身经百战
简朴,素朴
清都紫府,清都紫微
捐残去杀,去杀胜残
七零八碎,鸡零狗碎
掂斤抹两,掂斤播两
批亢捣虚,批吭捣虚
取得,获取
剖析,剖释
判定,鉴定
教诲,教养
俊彦,翘楚
剖心坼肝,剖心析肝
居摄,摄政
无千待万,无千无万
妙语解颐,妙语连珠
欢欣,欢娱
神采飞扬,精神焕发
违心之言,违心之论
微小,渺小
内耗,内讧
回答,回话
铭心镂骨,念念不忘
排泄,排除
神色,神采
美好,俊美
末路,死路
久远,弥远
沆瀣一气,通同一气
绝处逢生,虎口余生
金兰之交,金兰之友
侵夺,劫掠
沃土,沃壤
轻捷,轻盈
退徙三舍,退避三舍
大模大样,气宇轩昂
前所未有,史无前例
大相径庭,大有迳庭
独揽,独霸
面如死灰,面无人色
轻手轻脚,轻手软脚
假公济私,损人利己
明察秋毫,明察暗访
惊弓之鸟,惊弦之鸟
树模,示范
暮气沉沉,死气沉沉
上司,上级
巨富,豪富
岁数,年纪
地道,隧道
无伤大雅,无关大局
索取,索要
家鸡野雉,家鸡野鹜
爽朗,爽快
家徒壁立,环堵萧然
地广人稀,地旷人稀
无所畏惧,万夫不当
痛苦,难过
倩丽,娇艳
姘妇,贱货
亨衢,通衢
东零西散,东零西碎
焦心,焦虑
低劣,低装
推度,探求
渐渐,缓缓
思索,思考
武艺,技艺
弄巧成拙,画虎不成
决断,决议
叨光,打扰
威武不屈,宁死不屈
无理,畸形
松懈,停懈
始终如一,坚贞不渝
灭绝,绝迹
夙昔,往时
为蛇添足,为蛇画足
巨大,强大
大是大非,泾渭分明
好汉,豪杰
漂泊,漂流
窍门,诀窍
赔礼,赔罪
命中注定,死生有命
委实,确实
生拖死拽,生拉硬扯
剜肉医疮,剜肉补疮
壶中日月,壶里乾坤
稳健,稳重
得意忘形,忘乎所以
全神贯注,目不转睛
七颠八倒,五角六张
批准,核准
食古不化,顽固不化
舍生取义,舍己为人
殚精竭虑,呕心沥血
得寸进尺,贪猥无厌
听之任之,听其自流
纠葛,胶葛
手腕,花招
偶然,未必
躲避,躲闪
无计可施,黔驴之技
蓬筚生辉,蓬荜增辉
大祸,横祸
勉力,全力
怙顽不悛,顽固不化
拟于不伦,拟非其伦
举行,实行
交锋,交战
添枝加叶,添油加醋
守御,戍守
建筑,建造
听而不闻,视而不见
文不对题,答非所问
侮弄,玩弄
轻口薄舌,轻口轻舌
几何,多少
天理难容,天理昭彰
寿陵匍匐,寿陵失步
轻车简从,轻骑简从
今朝,目前
轻言寡信,轻诺寡信
强盛,焕发
威胁,威逼
未免,难免
勤能补拙,将勤补拙
欺侮,欺凌
停歇,停滞
毒头,牛头
威名,威望
商讨,接洽
其实,实在
秘密,机密
画虎类犬,画虎不成
马齿徒长,马齿徒增
尽头,绝顶
探亲,省亲
颓靡,颓败
拾获,拾遗
文房四侯,文房四宝
呆似木鸡,呆如木鸡
危言耸听,耸人听闻
含情脉脉,深情款款
藐视,渺视
撵走,驱逐
深究,究查
握拳透掌,握拳透爪
大庭广众,大廷广众
凸起,突出
尽善尽美,无懈可击
污染,玷污
莫非,难道
吉星高照,大吉大利
清心少欲,清心寡欲
惊慌失措,忐忑不安
敬老慈幼,敬老爱幼
晚上,黄昏
划一,齐截
胡匪,马贼
涕泣,涕零
禁止,遏止
妒嫉,嫉恨
特性,特质
经天纬地,经纬天下
伸展,膨胀
胶着,胶著
狡诈,狡黠
清除,肃清
轻而易举,顺风吹火
妄言,谎话
千姿百态,无奇不有
耐心,耐性
闪烁其词,含糊其词
当立之年,而立之年
迥乎不同,迥然不同
额手相庆,额手称颂
唆使,挑唆
何况,而况
实情,底细
齐备,完备
名人,名士
怒气冲冲,火冒三丈
文过饰非,讳疾忌医
茂密,茂盛
设立,设置
门径,门路
化整为零,化零为整
对于,对待
大白,明晰
同心协力,同甘共苦
劈头,起源
三令五申,三申五令
集合,聚合
坚韧不拔,坚贞不屈
怒火中烧,怒目切齿
孑然一身,踽踽独行
器具,器用
吉人天相,天相吉人
问牛知马,问羊知马
添枝加叶,节外生枝
倒戈,叛逆
迷途知反,迷途知返
尽心尽力,殚精竭力
拘留,逮捕
佳作,杰作
极力,全力
精炼,精炼
弃文就武,投笔从戎
抵赖,退却
时候,时期
微风,轻风
权术,权略
判别,鉴识
碰着,际遇
无可置疑,毋庸置疑
凄风寒雨,凄风苦雨
敬仰,敬佩
兼权尚计,兼权熟计
牛骥同槽,牛骥同皂
害病,患病
搧动,挑唆
季孙之忧,祸起萧墙
望风而逃,望风披靡
屈服,顺服
华丽,靡丽
树怨,树敌
含混,模糊
伙计,店员
熟识,熟谙
末路,绝路
动听,动人
体系,体制
无能为力,束手无策
取利,投机
桀骜不驯,横冲直撞
默化潜移,默换潜移
侵略,侵蚀
狐假虎威,狐虎之威
箕引裘随,箕裘相继
见解,见识
倒退,退缩
石泐海枯,海枯石烂
宁静,清净
千钧一发,迫在眉睫
万事亨通,万事大吉
急不择路,望门投止
活泼,活跃
结局,结束
守约,践约
祸福同门,祸福无门
欺诈,期骗
军令如山,号令如山
伤口,伤痕
推敲,思考
赌咒发誓,赌誓发愿
默默无言,默不作声
短少,缺少
简单明了,通俗易懂
娘舅,舅舅
弃甲丢盔,弃甲负弩
平滑,滑润
瓢泼大雨,大雨倾盆
势不两立,势如水火
昏暗,灰暗
牝牡骊黄,泾渭不分
审视,凝视
好友,深交
讨好,趋附
桑梓,家园
堂而皇之,明火执杖
描写,描绘
南柯一梦,梦里南轲
弥天大谎,欺人之谈
培植,提拔
买上告下,买上嘱下
借故,借端
进善惩奸,进善惩恶
教师,教练
跌宕不羁,跌荡不羁
仆欧,侍役
伤痕累累,皮开肉绽
歧视,渺视
揭破,揭穿
昏昏欲睡,昏头昏脑
投入,加入
强壮,强大
妄自尊大,目无余子
塞责,搪塞
情文并茂,情景交融
顺手,顺利
务实,求实
豁达,豪迈
民不聊生,民生凋敝
切齿痛恨,切齿腐心
三位一体,水乳交融
农人,农夫
精疲力竭,筋疲力尽
酒席,酒筵
评释,解释
强弩之末,强弩末矢
纳贡,进贡
闻所未闻,见所未见
婚典,婚礼
活力,生机
单身,未婚
见风使舵,借坡下驴
熟魏生张,生张熟魏
平日,平居
东征西讨,东讨西征
朴质,扑实
海誓山盟,矢志不移
教师,教员
目不苟视,目不邪视
兜售,兜销
神经病,精神病
待贾而沽,善贾而沽
目眐心骇,目瞪心骇
独创,首创
坚强,坚决
和光同尘,浑俗和光
托言,托词
弄法舞文,舞文玩法
千里镜,望远镜
遁迹桑门,遁迹空门
夺取,窃取
全体,全豹
调动,调度
贫嘴薄舌,能说会道
锦上添花,画龙点睛
举世,环球
推行,实行
节约,节流
特意,特特
深渊,深谷
没落,衰败
男女老少,男女老幼
弄巧成拙,弄巧反拙
魂不着体,魂不附体
低沉,降低
完好无损,完好无缺
说长话短,说长说短
千岁一时,千载一时
威严,威厉
统帅,统领
商酌,计划
怒容满面,金刚怒目
梢公,海员
神意自若,神色自若
荒诞无稽,大谬不然
卖弄风情,搔首弄姿
投其所好,曲意奉迎
回天乏术,独木难支
盛情,盛意
打成一片,水乳交融
石室金匮,金匮石室
焕然一新,气象一新
求学,求知
积存,积贮
奇特,独特
刀光剑影,磨刀霍霍
切磋,商议
谠言嘉论,谠言直声
情意绵绵,男欢女爱
二话不说,二话没说
大智若愚,深藏若虚
天分,天生
经过,始末
名望,名誉
书本,书籍
大吵大闹,大呼小叫
披荆斩棘,斗志昂扬
推却,推托
进攻,打击
天涯,海角
打扮,盛装
目达耳通,耳聪目明
聚会,会议
审查,稽察
冒死,拼死
魂飞魄丧,魂飞魄越
渺茫,迷茫
少女,青娥
停息,停滞
迷途知反,迷而知返
卖剑买牛,马放南山
无拘无束,无拘无缚
劫后余生,死里逃生
逃脱,脱逃
单丝不成线,独木不成林
秘而不言,秘而不露
加添,添补
杀人越货,江洋大盗
经历,通过
危在旦夕,气息奄奄
嘟哝,嘟囔
帏箔不修,帏薄不修
熟悉,熟知
天长地久,天长日久
尸体,尸首
皎白,皎洁
顽固,拘泥
扑素,素净
禁不住,禁不起
奇谋,神算
停当,稳妥
顺风使船,顺风驶船
五颜六色,多姿多彩
堕落,蜕化
破钞,破耗
欢声笑语,谈笑风生
乞贷,借钱
凝固,凝聚
世代书香,家学渊源
挥动,挥舞
怀抱,襟怀
杞人之忧,杞人忧天
欺世盗名,盗名欺世
跳班,跳级
田园,田野
首脑,头领
磨穿铁鞋,踏破铁鞋
天生地设,天生天化
冒充,混充
去世,亡故
混闹,胡闹
冬衣,寒衣
亡命,遁迹
求情,说情
片时,少焉
十步芳草,十步香草
陶醉,迷恋
兔死狐悲,物伤其类
刁滑,刁钻
途径,道路
渗出,渗透
揭示,揭露
悔之莫及,江心补漏
浓郁,浓烈
涣然一新,面目一新
夙兴夜寐,起早摸黑
痛快,索性
旗鼓相当,棋逢对手
赏玩,玩赏
见利忘义,监守自盗
愕然,惊诧
唯一,独一
免职,解雇
加官进爵,加官进禄
祸根,祸端
失掉,失落
大作,通行
皇亲国戚,达官贵人
天涯比邻,近在咫尺
谬采虚声,谬采虚誉
恶积祸盈,死有余辜
妈妈,姆妈
慌慌张张,急急巴巴
厚古薄今,是古非今
束手束脚,束手束足
金科玉律,清规戒律
嘉言善行,嘉言懿行
米珠薪桂,食玉炊桂
无所不能,神通广大
切实,的确
筋疲力竭,精疲力尽
据为己有,唯利是图
惬意,舒畅
和善,温和
独揽,驾御
精妙绝伦,精美绝伦
琵琶旧语,琵琶胡语
束手束脚,束手缚脚
清扫,驱除
强词夺理,蛮横无理
寄望,属意
德才兼备,品学兼优
谦善,谦虚
接待,欢迎
危急,惊险
事与愿违,大失所望
既往不咎,既往不究
无能,窝囊
头子,头领
大抵,大略
无所不包,无所不容
假造,捏造
后退,畏缩
恼羞变怒,恼羞成怒
荒谬,诞妄
授课,讲课
衰亡,颓废
派司,牌照
损害,破损
千人所指,千夫所指
气冲牛斗,气壮山河
事必躬亲,事无巨细
举止失措,手足无措
五颜六色,花花绿绿
农历,旧历
嘉话,美谈
娇嫩,娇贵
生存,生计
同心协力,通力合作
水楔不通,水泄不通
介意,提神
牲口,牲畜
荒唐,谬妄
情同手足,情逾骨肉
窘况,窘迫
交际,社交
点头,颔首
沙岸,沙滩
品味,品尝
试探,试验
后悔不迭,悔之无及
书香门户,书香门第
名次,排行
矢忠不二,誓死不二
民心,民气
勤勉,勤苦
五洲四海,四面八方
同僚,同寅
倒果为因,颠倒是非
攀话,攀谈
合拢,紧闭
明澈,清撤
推陈出新,独辟蹊径
跑江湖,跑码头
毛病,欠缺
焦心,交集
娇小,渺小
鸡犬不宁,海水群飞
花样,花色
凋零,失利
攀登,登攀
喂养,豢养
吐心吐胆,吐肝露胆
后悔不及,救过不给
无所不为,无所不至
审阅,核阅
几许,几多
忙乱,忙碌
团员,团聚
街谈巷语,街谈巷谚
俗例,民风
实话实说,无可讳言
独占鳌头,鹤立鸡群
明净,明丽
惊惶,惊慌
透露,揭穿
尖锐,敏锐
浅白,浅近
毫不在意,毫不介意
说短论长,说长论短
鼎鼎有名,举世闻名
挥戈反日,挥戈回日
骑牛觅牛,骑驴觅驴
千条万绪,千头万绪
沆瀣一气,浑然不觉
大智若愚,外愚内智
好坏,黑白
东西,器械
五雷轰顶,天打雷劈
饿殍载道,饿莩载道
敬仰,敬慕
岁数,年龄
打情骂俏,眉来眼去
贫无立锥,贫无置锥
琼浆玉液,琼浆金液
东山再起,死灰复燃
泥牛入海,海底捞针
境界,田地
统率,统领
河东狮吼,河东狮子
急流,激流
危急,危境
毁灭,袪除
担当,肩负
经世之才,经国之才
无价之宝,奇珍异宝
围聚,聚集
同胞,同族
明明白白,清清爽爽
平坦,坦荡
温情,温顺
忌惮,胆寒
恬不为怪,无动于衷
扪虱而言,扪虱而谈
界线,鸿沟
何等,多么
权谋,权略
失望,扫兴
记挂,惦记
偶然,无意
兀立,耸立
南去北来,南来北往
危在旦夕,大厦将倾
守候,等待
民富国强,民殷国富
浩淼,浩渺
侵扰,骚扰
火上加油,挑拨离间
坚忍不拔,矢志不移
石油,煤油
魂不守舍,无所用心
切肤之痛,痛定思痛
破坏,捣蛋
天从人愿,天随人愿
探望,探问
淡忘,渐忘
唾骂,诋毁
接事,就职
佳构,精品
乌绿,墨绿
嘟嘟哝哝,嘟嘟囔囔
恩义,恩德
拍手称快,普天同庆
亲密,紧密
胆大包天,浑身是胆
厚道,敦朴
简洁,简练
打听,探询
实践,实习
卷土重来,死灰复然
寂然,砰然
模棱两端,含糊其词
强硬,倔强
抉目胥门,抉目吴门
东征西讨,东冲西突
金相玉式,金相玉质
伙伴,朋友
得益,收获
靡靡之声,靡靡之音
尾大不掉,末大不掉
底蕴,内情
记实,记录
难受,难熬
和睦,亲睦
团结,结合
拿手,特长
合髻,结发
秘而不宣,讳莫如深
穷兵黩武,黩武穷兵
积甲如山,积甲山齐
决计,决心
借尸还魂,死灰复燃
谎言,谎话
无如之何,无如奈何
集体,群众
生机勃勃,生机盎然
盼望,祈望
听从,听命
酒宴,酒筵
举一反三,闻一知十
倦怠,疲倦
速即,随即
浃沦肌髓,浃髓沦肌
浩浩汤汤,浩浩荡荡
极度,绝顶
基本,基础
授与,接纳
居高临下,建瓴高屋
挖苦,讥讽
徒负虚名,外强中干
怒发冲冠,气涌如山
美轮美奂,雕栏玉砌
家喻户习,家谕户晓
计较锱铢,斤斤计较
确切,的确
难解,深刻
拘禁,拘捕
深沟固垒,深沟壁垒
搜捕,逮捕
倒三颠四,颠三倒四
抵触,抵牾
稳定,静止
黑幕,底细
无名小卒,没没无闻
平手,平局
当场,马上
假道灭虢,灭虢取虞
凄怨,颓唐
拾遗补缺,拾遗补阙
提纲挈领,提纲振领
三灾八难,多灾多难
水净鹅飞,水尽鹅飞
大直若屈,大直若屈
大吃大喝,酒足饭饱
时候,时辰
度德量力,审时度势
善解人意,通情达理
煞费心机,煞费苦心
僵持,对峙
接近,切近
抬高,提升
爽朗,坦率
时过境迁,水流花落
批判,批评
圈套,机关
旗头,旗手
前方,前线
技能,技巧
他山之石,前车之鉴
实繁有徒,实蕃有徒
接二连三,接连不断
道同义合,道同志合
囚禁,羁系
天地,寰宇
女大须嫁,女长须嫁
排解,排遣
浅显,通俗
屈高就下,降尊临卑
面誉背毁,面谀背毁
私宅,私邸
山珍海味,水陆毕陈
简便,轻易
望其肩项,望其项背
特工,间谍
轻飘,轻盈
何以,何故
冥思苦索,瞑思苦想
痛饮,酣饮
跌宕,跌荡
侵略,进犯
到达,抵达
万众一心,四分五裂
好为人师,师心自用
深沟固垒,深沟高垒
健壮,矫健
含混,朦拢
大批,巨额
哄动,轰动
深幽,僻静
捏手捏脚,蹑手蹑脚
坚固,踏实
境况,情形
见多识广,见闻广博
牟取,谋取
枪林弹雨,身经百战
切记,谨记
尽心尽力,竭尽全力
强烈,激烈
荡漾,动荡
精良,精巧
金鼓连天,金鼓齐鸣
回覆,答复
仆从,奴隶
窃窃私语,窃窃私议
解散,收场
疲钝,疲劳
围魏救赵,调虎离山
恶贯满盈,无恶不作
厚貌深情,厚貌深文
堆金叠玉,堆金积玉
金城汤池,铜墙铁壁
淘汰,镌汰
旗子,旗帜
大批,多数
价格,价钱
切中时弊,切中时病
旦角,花旦
冬日可爱,冬日夏云
刁顽,顽恶
等闲,轻易
清除,断根
结盟,订盟
咆哮,怒吼
畏缩不前,畏葸不前
黄发骀背,黄发鲐背
货品,货物
衡石程书,衡石量书
书香世家,诗礼人家
蓬头赤脚,蓬头跣足
名垂千古,名垂后世
家无担石,家无斗储
儿歌,童谣
东食西宿,食宿相兼
雕章琢句,雕章缋句
姣美,俊俏
截止,结果
谋划,经营
虎入羊群,虎荡羊群
同心同德,齐心协力
怒气,怒火
熟悉,熟练
含血喷人,破口大骂
胆小如豆,胆小如鼷
天差地远,天悬地隔
前哨,前线
声援,缓助
诬告,诬陷
慌乱,慌张
地大物博,海阔天空
痛之入骨,痛心入骨
殊方同致,殊途同归
悔不当初,悔之无及
委曲,屈身
卖弄,矫饰
进退中度,进退中绳
华侨,华裔
撒娇撒痴,撒痴撒娇
轻巧,轻松
搔头抓耳,搔头摸耳
锦团花簇,锦簇花团
斯文,温柔
肃然,骚然
清寒,贫困
见机行事,借风使船
去向,去处
调治,调整
升起,起飞
无心,无意
大胆,斗胆
名下无虚,当之无愧
横行无忌,蛮横无理
赏罚严明,赏罚信明
外圆内方,绵里藏针
结余,节余
急功近利,好高骛远
后人,后裔
党羽,同党
泥坑,泥淖
清寒,缺乏
进可替不,进可替否
勤劳致富,男耕女织
门可罗雀,门堪罗雀
大约,大略
囚系,监禁
失容,失神
墨客,文人
横眉瞪目,横眉瞪眼
千端万绪,千绪万端
培修,维修
纠葛,纠纷
恰好,恰巧
劝导,劝解
黑糊糊,黑黝黝
吐哺捉发,吐哺握发
泥首,稽首
亲如手足,情同骨肉
颠倒黑白,颠倒是非
万古长存,万古长青
雕章镂句,精雕细刻
挺拔,特立
没落,衰退
嫁狗随狗,嫁狗逐狗
启示,启发
绝少分甘,绝甘分少
噩梦,恶梦
独占,独吞
稍微,稍许
搜索枯肠,呕心沥血
偷盗,盗窃
挺立,特立
气魄,派头
土地,地盘
坚毅,坚贞
熟能生巧,耳熟能详
无理取闹,据理力争
呢喃细语,轻声细语
奇花异卉,奇花异草
尽善尽美,尽如人意
肩舆,轿子
散马休牛,马放南山
瓦解土崩,豆剖瓜分
势不两存,势不并立
七嘴八舌,七张八嘴
树立,竖立
推延,推迟
情深义重,情深意重
典藏,收藏
删改,点窜
多才多艺,多材多艺
愕然,惊愕
坍台,塌台
东奔西窜,东奔西逃
犬马之劳,死心塌地
描画,描绘
回响,回荡
齐趋并驾,齐驱并驾
起色,进展
期求,祈求
大势,大局
清丽,清秀
贪婪,贪念
睹物思人,见鞍思马
千真万确,确切不移
视人如伤,视民如伤
道东说西,道西说东
没头没脑,呆头呆脑
失容,失态
同流合污,誓不两立
函牍,文牍
浑浑沌沌,混混沌沌
素不相识,素昧平生
浅薄,浅陋
得意,景色
批驳,挑剔
刀耕火种,刀耕火耘
短缺,缺乏
金石之言,金石良言
盘算,妄图
往日,旧日
牛骥共牢,牛骥同皂
骸骨,尸骨
说三道四,说东道西
巨擘,权威
吊水,汲水
海涵,见谅
内忧外患,多事之秋
门无杂客,门无杂宾
遏制,遏止
倘使,假若
齐备,美满
骈肩叠迹,骈肩累迹
独出心裁,匠心独运
僵李代桃,将李代桃
娇傲,骄慢
束缚,拘谨
瞥见,瞧见
万里长征,千山万水
上午,上昼
害臊,怕羞
火树银花,灯烛辉煌
挑三拨四,挑三豁四
却之不恭,盛情难却
欺善怕恶,吐刚茹柔
打成一片,打得火热
天无二日,民无二主
回头,回来
代价,价值
好多,很多
大有人在,无人问津
埋没,埋葬
缩衣节口,缩衣节食
害臊,害羞
举世无敌,举世无双
面面相看,面面相觑
体态,身形
得悉,获悉
兼收并蓄,兼而有之
三街两市,三街六市
胆大心小,胆大心细
失魂落魄,急急忙忙
山南海北,天南地北
吊丧,吊祭
乞降,求和
漱流枕石,漱石枕流
东窗事发,图穷匕见
汗流接踵,汗流浃踵
拖拉,拖沓
摩顶放踵,死而后已
没齿不忘,铭心刻骨
买笑寻欢,买笑追欢
矢言,起誓
黔驴之计,黔驴技穷
名片,柬帖
瓮尽杯干,弹尽粮绝
第宅,私邸
检束,检点
弹指之间,电光石火
祸首,首恶
乞假,请假
七嘴八张,七张八嘴
偏护,袒护
活灵活现,活神活现
大方,时髦
大彻大悟,茅塞顿开
思如涌泉,文思敏捷
倾盆大雨,大雨滂沱
气魄,气魄
摸索,探索
全知全能,无所不知
怙恶不悛,死不改悔
多谋善断,魂销目断
江淹才尽,黔驴技穷
生辰,诞辰
金玉良言,金石良言
坚实,坚忍
华屋丘墟,华屋山丘
话中带刺,夹枪带棒
恬不知羞,恬不知耻
体面,面子
大快人心,痛快淋漓
水米无交,水菜不交
随波逐流,随声附和
酣畅,舒畅
断圭碎璧,断缣零璧
驱赶,驱逐
气满志骄,气骄志满
善事,好事
吊唁,悼念
品性,品质
寝衣,睡衣
唾手可得,唾手可取
南征北伐,南征北讨
时运不济,生不逢时
生死关头,生死存亡
大惑不解,迷惑不解
缄默,默然
建功立业,建功立事
南方,南边
实力,能力
貌是心非,貌是情非
太平,宁靖
稳定,平稳
生日,诞辰
顺人应天,顺天应人
随波逐流,随俗浮沉
停辛伫苦,停辛贮苦
疾苦,艰苦
鼎力,大力
回肠荡气,沁人肺腑
记念,庆贺
牵缠,牵涉
会谈,商谈
痛快,适意
单人独马,单枪匹马
亡羊补牢,收之桑榆
金碧辉映,金碧辉煌
攀高接贵,攀龙附凤
天真无邪,天真烂漫
骑马寻马,骑马找马
叛变,叛逆
积年累月,穷年累月
说一不二,说一是一
伸展,蔓延
弥天大谎,瞒天过海
骑虎难下,进退两难
尽职,尽责
简明,精练
欺侮,污辱
多谋善断,当机立断
签署,签定
探讨,讨论
杀一儆百,杀鸡骇猴
青黄不接,青黄未接
前倨后恭,前倨后卑
神态,神气
横亘,绵亘
围魏救赵,围城打援
横科暴敛,横赋暴敛
树怨,结怨
横殃飞祸,横祸飞灾
童稚,童趣
东拼西凑,东挪西借
旗号,旗帜
话别,道别
完好无损,完璧归赵
牛角挂书,韦编三绝
满城风雨,甚嚣尘上
得寸进尺,舐糠及米
讥笑,讥讽
天荒地老,荆天棘地
骄侈暴佚,骄侈淫虐
普及,普遍
答允,首肯
惊惶失措,惊惶失措
曲突徙薪,未雨绸缪
划一,齐整
损害,损伤
内助,浑家
谦逊,谦虚
我行我素,铁石心肠
倘使,倘诺
体会,体认
潜藏,躲藏
事不关己,无关痛痒
气味,气息
地久天长,千秋万代
恩断义绝,花残月缺
三心二意,二三其意
党首,首领
捷报频传,节节胜利
望尘莫及,望尘不及
探听,探问
深入,深切
亲自,亲身
代为说项,代人说项
潜藏,闪避
单纯,简单
河山,疆土
大凡,普通
合伙,结伙
企望,企图
剖心析胆,剖心析肝
挤眉弄眼,眉来眼去
内疚,忸怩
听而不闻,漠不关心
五花八门,千变万化
家喻户晓,尽人皆知
随随便便,马马虎虎
市井小人,市井小民
抛荒,疏弃
频繁,经常
建壮,结实
坚韧,坚忍
怀抱,度量
即位,登基
梦呓,梦话
皇亲国戚,金枝玉叶
俭朴,简谱
屈曲,曲折
升平,宁靖
勤劳,勤恳
戒指,适度
胡作乱为,胡作非为
屈指可数,数一数二
浅见,谬论
花容月貌,花颜月貌
十全十美,金无足赤
嘶哑,沙哑
大显身手,身手不凡
前进,挺近
盘算,贪图
花消,花费
和顺,温和
神魂颠倒,神魂飞越
生成,天生
三贞九烈,三贞五烈
疲乏,无力
芜杂,混乱
好看,排场
抵偿,赔偿
同学,同砚
千真万确,无庸置辩
斗劲,较量
摔倒,颠仆
握云拿雾,握雾拿云
河东狮吼,季常之惧
桀傲不恭,桀骜不恭
